"Year","Units","Sex","Location","Age","Value"
"2015","%","","","","6.68"
"2016","%","","","","6.87"
"2017","%","","","","6.51"
"2018","%","","","","6.36"
"2019","%","","","","6.49"
"2020","%","","","","6.47"
"2015","%","male","","","7.25"
"2016","%","male","","","7.42"
"2017","%","male","","","7.14"
"2018","%","male","","","7.01"
"2019","%","male","","","7.15"
"2020","%","male","","","7.13"
"2015","%","female","","","6.16"
"2016","%","female","","","6.37"
"2017","%","female","","","5.94"
"2018","%","female","","","5.77"
"2019","%","female","","","5.89"
"2020","%","female","","","5.88"
"2015","%","","urban","","7.15"
"2016","%","","urban","","7.29"
"2017","%","","urban","","6.92"
"2018","%","","urban","","6.74"
"2019","%","","urban","","6.83"
"2020","%","","urban","","6.77"
"2015","%","male","urban","","7.68"
"2016","%","male","urban","","7.8"
"2017","%","male","urban","","7.5"
"2018","%","male","urban","","7.33"
"2019","%","male","urban","","7.42"
"2020","%","male","urban","","7.36"
"2015","%","female","urban","","6.69"
"2016","%","female","urban","","6.84"
"2017","%","female","urban","","6.42"
"2018","%","female","urban","","6.23"
"2019","%","female","urban","","6.31"
"2020","%","female","urban","","6.27"
"2015","%","","rural","","5.85"
"2016","%","","rural","","6.13"
"2017","%","","rural","","5.77"
"2018","%","","rural","","5.67"
"2019","%","","rural","","5.89"
"2020","%","","rural","","5.94"
"2015","%","male","rural","","6.54"
"2016","%","male","rural","","6.78"
"2017","%","male","rural","","6.55"
"2018","%","male","rural","","6.47"
"2019","%","male","rural","","6.7"
"2020","%","male","rural","","6.76"
"2015","%","female","rural","","5.17"
"2016","%","female","rural","","5.5"
"2017","%","female","rural","","5.03"
"2018","%","female","rural","","4.9"
"2019","%","female","rural","","5.11"
"2020","%","female","rural","","5.16"
"2015","%","","","aged 0-17 years","1.13"
"2016","%","","","aged 0-17 years","1.18"
"2017","%","","","aged 0-17 years","1.18"
"2018","%","","","aged 0-17 years","1.17"
"2019","%","","","aged 0-17 years","1.23"
"2020","%","","","aged 0-17 years","1.24"
"2015","%","male","","aged 0-17 years","1.46"
"2016","%","male","","aged 0-17 years","1.5"
"2017","%","male","","aged 0-17 years","1.52"
"2018","%","male","","aged 0-17 years","1.51"
"2019","%","male","","aged 0-17 years","1.58"
"2020","%","male","","aged 0-17 years","1.6"
"2015","%","female","","aged 0-17 years","0.75"
"2016","%","female","","aged 0-17 years","0.8"
"2017","%","female","","aged 0-17 years","0.79"
"2018","%","female","","aged 0-17 years","0.78"
"2019","%","female","","aged 0-17 years","0.82"
"2020","%","female","","aged 0-17 years","0.83"
"2015","%","","","aged 18-39 years","2.48"
"2016","%","","","aged 18-39 years","2.52"
"2017","%","","","aged 18-39 years","2.4"
"2018","%","","","aged 18-39 years","2.31"
"2019","%","","","aged 18-39 years","2.36"
"2020","%","","","aged 18-39 years","2.36"
"2015","%","male","","aged 18-39 years","3.47"
"2016","%","male","","aged 18-39 years","3.52"
"2017","%","male","","aged 18-39 years","3.39"
"2018","%","male","","aged 18-39 years","3.26"
"2019","%","male","","aged 18-39 years","3.3"
"2020","%","male","","aged 18-39 years","3.3"
"2015","%","female","","aged 18-39 years","1.55"
"2016","%","female","","aged 18-39 years","1.57"
"2017","%","female","","aged 18-39 years","1.48"
"2018","%","female","","aged 18-39 years","1.41"
"2019","%","female","","aged 18-39 years","1.47"
"2020","%","female","","aged 18-39 years","1.48"
"2015","%","","","aged 40-62 years","11.61"
"2016","%","","","aged 40-62 years","11.76"
"2017","%","","","aged 40-62 years","10.39"
"2018","%","","","aged 40-62 years","9.66"
"2019","%","","","aged 40-62 years","9.6"
"2020","%","","","aged 40-62 years","9.25"
"2015","%","male","","aged 40-62 years","12.58"
"2016","%","male","","aged 40-62 years","12.85"
"2017","%","male","","aged 40-62 years","11.85"
"2018","%","male","","aged 40-62 years","11.29"
"2019","%","male","","aged 40-62 years","11.36"
"2020","%","male","","aged 40-62 years","11.06"
"2015","%","female","","aged 40-62 years","10.81"
"2016","%","female","","aged 40-62 years","10.85"
"2017","%","female","","aged 40-62 years","9.19"
"2018","%","female","","aged 40-62 years","8.34"
"2019","%","female","","aged 40-62 years","8.19"
"2020","%","female","","aged 40-62 years","7.78"
"2015","%","","","aged 63 and older","16.87"
"2016","%","","","aged 63 and older","17.59"
"2017","%","","","aged 63 and older","17.74"
"2018","%","","","aged 63 and older","17.92"
"2019","%","","","aged 63 and older","18.2"
"2020","%","","","aged 63 and older","18.36"
"2015","%","male","","aged 63 and older","19.81"
"2016","%","male","","aged 63 and older","20.19"
"2017","%","male","","aged 63 and older","20.18"
"2018","%","male","","aged 63 and older","20.25"
"2019","%","male","","aged 63 and older","20.44"
"2020","%","male","","aged 63 and older","20.48"
"2015","%","female","","aged 63 and older","14.9"
"2016","%","female","","aged 63 and older","15.85"
"2017","%","female","","aged 63 and older","16.12"
"2018","%","female","","aged 63 and older","16.37"
"2019","%","female","","aged 63 and older","16.71"
"2020","%","female","","aged 63 and older","16.95"
"2021","%","","","","6.61"
"2021","%","male","","","7.33"
"2021","%","female","","","5.96"
"2021","%","","urban","","6.88"
"2021","%","male","urban","","7.53"
"2021","%","female","urban","","6.31"
"2021","%","","rural","","6.13"
"2021","%","male","rural","","7.0"
"2021","%","female","rural","","5.29"
"2021","%","","","aged 0-17 years","1.3"
"2021","%","male","","aged 0-17 years","1.67"
"2021","%","female","","aged 0-17 years","0.87"
"2021","%","","","aged 18-39 years","2.54"
"2021","%","male","","aged 18-39 years","3.61"
"2021","%","female","","aged 18-39 years","1.53"
"2021","%","","","aged 40-62 years","9.1"
"2021","%","male","","aged 40-62 years","11.03"
"2021","%","female","","aged 40-62 years","7.54"
"2021","%","","","aged 63 and older","18.58"
"2021","%","male","","aged 63 and older","20.69"
"2021","%","female","","aged 63 and older","17.19"
"2022","%","","","","6.49"
"2022","%","male","","","7.2"
"2022","%","female","","","5.85"
"2022","%","","urban","","6.78"
"2022","%","male","urban","","7.44"
"2022","%","female","urban","","6.22"
"2022","%","","rural","","5.96"
"2022","%","male","rural","","6.8"
"2022","%","female","rural","","5.16"
"2022","%","","","aged 0-17 years","1.31"
"2022","%","male","","aged 0-17 years","1.69"
"2022","%","female","","aged 0-17 years","0.88"
"2022","%","","","aged 18-39 years","2.41"
"2022","%","male","","aged 18-39 years","3.39"
"2022","%","female","","aged 18-39 years","1.48"
"2022","%","","","aged 40-62 years","8.36"
"2022","%","male","","aged 40-62 years","10.35"
"2022","%","female","","aged 40-62 years","6.74"
"2022","%","","","aged 63 and older","18.8"
"2022","%","male","","aged 63 and older","20.93"
"2022","%","female","","aged 63 and older","17.4"
"2023","%","","","","6.18"
"2023","%","male","","","6.85"
"2023","%","female","","","5.58"
"2023","%","","urban","","6.47"
"2023","%","male","urban","","7.08"
"2023","%","female","urban","","5.94"
"2023","%","","rural","","5.68"
"2023","%","male","rural","","6.47"
"2023","%","female","rural","","4.92"
"2023","%","","","aged 0-17 years","1.2"
"2023","%","male","","aged 0-17 years","1.54"
"2023","%","female","","aged 0-17 years","0.81"
"2023","%","","","aged 18-39 years","2.19"
"2023","%","male","","aged 18-39 years","3.1"
"2023","%","female","","aged 18-39 years","1.33"
"2023","%","","","aged 40-62 years","7.44"
"2023","%","male","","aged 40-62 years","9.4"
"2023","%","female","","aged 40-62 years","5.84"
"2023","%","","","aged 63 and older","19.16"
"2023","%","male","","aged 63 and older","21.31"
"2023","%","female","","aged 63 and older","17.76"
"2024","%","","","","5.32"
"2024","%","male","","","5.82"
"2024","%","female","","","4.88"
"2024","%","","urban","","5.57"
"2024","%","male","urban","","6.08"
"2024","%","female","urban","","5.14"
"2024","%","","rural","","4.88"
"2024","%","male","rural","","5.39"
"2024","%","female","rural","","4.36"
"2024","%","","","aged 0-17 years","0.96"
"2024","%","male","","aged 0-17 years","1.23"
"2024","%","female","","aged 0-17 years","0.65"
"2024","%","","","aged 18-39 years","1.87"
"2024","%","male","","aged 18-39 years","2.63"
"2024","%","female","","aged 18-39 years","1.13"
"2024","%","","","aged 40-62 years","5.57"
"2024","%","male","","aged 40-62 years","7.09"
"2024","%","female","","aged 40-62 years","4.29"
"2024","%","","","aged 63 and older","14.67"
"2024","%","male","","aged 63 and older","15.86"
"2024","%","female","","aged 63 and older","13.86"
