"Year","Units","Sex","Age","Value"
"2015","person","","","96"
"2016","person","","","75"
"2017","person","","","56"
"2018","person","","","48"
"2019","person","","","19"
"2020","person","","","33"
"2015","person","male","","50"
"2016","person","male","","37"
"2017","person","male","","27"
"2018","person","male","","22"
"2019","person","male","","10"
"2020","person","male","","17"
"2015","person","female","","46"
"2016","person","female","","38"
"2017","person","female","","29"
"2018","person","female","","26"
"2019","person","female","","9"
"2020","person","female","","16"
"2015","person","","up to 6 months","1"
"2016","person","","up to 6 months","1"
"2017","person","","up to 6 months","3"
"2018","person","","up to 6 months","1"
"2019","person","","up to 6 months","0"
"2020","person","","up to 6 months","0"
"2015","person","male","up to 6 months","0"
"2016","person","male","up to 6 months","0"
"2017","person","male","up to 6 months","2"
"2018","person","male","up to 6 months","0"
"2019","person","male","up to 6 months","0"
"2020","person","male","up to 6 months","0"
"2015","person","female","up to 6 months","1"
"2016","person","female","up to 6 months","1"
"2017","person","female","up to 6 months","1"
"2018","person","female","up to 6 months","1"
"2019","person","female","up to 6 months","0"
"2020","person","female","up to 6 months","0"
"2015","person","","from 6 months to 1 year","16"
"2016","person","","from 6 months to 1 year","11"
"2017","person","","from 6 months to 1 year","9"
"2018","person","","from 6 months to 1 year","7"
"2019","person","","from 6 months to 1 year","0"
"2020","person","","from 6 months to 1 year","3"
"2015","person","male","from 6 months to 1 year","7"
"2016","person","male","from 6 months to 1 year","5"
"2017","person","male","from 6 months to 1 year","4"
"2018","person","male","from 6 months to 1 year","4"
"2019","person","male","from 6 months to 1 year","0"
"2020","person","male","from 6 months to 1 year","2"
"2015","person","female","from 6 months to 1 year","9"
"2016","person","female","from 6 months to 1 year","6"
"2017","person","female","from 6 months to 1 year","5"
"2018","person","female","from 6 months to 1 year","3"
"2019","person","female","from 6 months to 1 year","0"
"2020","person","female","from 6 months to 1 year","1"
"2015","person","","aged 1-5 years","56"
"2016","person","","aged 1-5 years","41"
"2017","person","","aged 1-5 years","30"
"2018","person","","aged 1-5 years","27"
"2019","person","","aged 1-5 years","12"
"2020","person","","aged 1-5 years","21"
"2015","person","male","aged 1-5 years","27"
"2016","person","male","aged 1-5 years","16"
"2017","person","male","aged 1-5 years","13"
"2018","person","male","aged 1-5 years","11"
"2019","person","male","aged 1-5 years","6"
"2020","person","male","aged 1-5 years","9"
"2015","person","female","aged 1-5 years","29"
"2016","person","female","aged 1-5 years","25"
"2017","person","female","aged 1-5 years","17"
"2018","person","female","aged 1-5 years","16"
"2019","person","female","aged 1-5 years","6"
"2020","person","female","aged 1-5 years","12"
"2015","person","","aged 6-9 years","10"
"2016","person","","aged 6-9 years","8"
"2017","person","","aged 6-9 years","6"
"2018","person","","aged 6-9 years","3"
"2019","person","","aged 6-9 years","3"
"2020","person","","aged 6-9 years","4"
"2015","person","male","aged 6-9 years","6"
"2016","person","male","aged 6-9 years","7"
"2017","person","male","aged 6-9 years","2"
"2018","person","male","aged 6-9 years","2"
"2019","person","male","aged 6-9 years","2"
"2020","person","male","aged 6-9 years","2"
"2015","person","female","aged 6-9 years","4"
"2016","person","female","aged 6-9 years","1"
"2017","person","female","aged 6-9 years","4"
"2018","person","female","aged 6-9 years","1"
"2019","person","female","aged 6-9 years","1"
"2020","person","female","aged 6-9 years","2"
"2015","person","","aged 10-15 years","9"
"2016","person","","aged 10-15 years","10"
"2017","person","","aged 10-15 years","5"
"2018","person","","aged 10-15 years","7"
"2019","person","","aged 10-15 years","3"
"2020","person","","aged 10-15 years","5"
"2015","person","male","aged 10-15 years","8"
"2016","person","male","aged 10-15 years","8"
"2017","person","male","aged 10-15 years","4"
"2018","person","male","aged 10-15 years","4"
"2019","person","male","aged 10-15 years","1"
"2020","person","male","aged 10-15 years","4"
"2015","person","female","aged 10-15 years","1"
"2016","person","female","aged 10-15 years","2"
"2017","person","female","aged 10-15 years","1"
"2018","person","female","aged 10-15 years","3"
"2019","person","female","aged 10-15 years","2"
"2020","person","female","aged 10-15 years","1"
"2015","person","","aged 16-17 years","4"
"2016","person","","aged 16-17 years","4"
"2017","person","","aged 16-17 years","3"
"2018","person","","aged 16-17 years","3"
"2019","person","","aged 16-17 years","1"
"2020","person","","aged 16-17 years","0"
"2015","person","male","aged 16-17 years","2"
"2016","person","male","aged 16-17 years","1"
"2017","person","male","aged 16-17 years","2"
"2018","person","male","aged 16-17 years","1"
"2019","person","male","aged 16-17 years","1"
"2020","person","male","aged 16-17 years","0"
"2015","person","female","aged 16-17 years","2"
"2016","person","female","aged 16-17 years","3"
"2017","person","female","aged 16-17 years","1"
"2018","person","female","aged 16-17 years","2"
"2019","person","female","aged 16-17 years","0"
"2020","person","female","aged 16-17 years","0"
"2021","person","","","17"
"2021","person","male","","8"
"2021","person","female","","9"
"2021","person","","up to 6 months","0"
"2021","person","male","up to 6 months","0"
"2021","person","female","up to 6 months","0"
"2021","person","","from 6 months to 1 year","2"
"2021","person","male","from 6 months to 1 year","1"
"2021","person","female","from 6 months to 1 year","1"
"2021","person","","aged 1-5 years","11"
"2021","person","male","aged 1-5 years","5"
"2021","person","female","aged 1-5 years","6"
"2021","person","","aged 6-9 years","2"
"2021","person","male","aged 6-9 years","1"
"2021","person","female","aged 6-9 years","1"
"2021","person","","aged 10-15 years","1"
"2021","person","male","aged 10-15 years","1"
"2021","person","female","aged 10-15 years","0"
"2021","person","","aged 16-17 years","1"
"2021","person","male","aged 16-17 years","0"
"2021","person","female","aged 16-17 years","1"
"2022","person","","","12"
"2022","person","male","","4"
"2022","person","female","","8"
"2022","person","","up to 6 months","0"
"20222","person","male","up to 6 months","0"
"2022","person","female","up to 6 months","0"
"2022","person","","from 6 months to 1 year","2"
"2022","person","male","from 6 months to 1 year","0"
"2022","person","female","from 6 months to 1 year","2"
"2022","person","","aged 1-5 years","8"
"2022","person","male","aged 1-5 years","3"
"2022","person","female","aged 1-5 years","5"
"2022","person","","aged 6-9 years","1"
"2022","person","male","aged 6-9 years","0"
"2022","person","female","aged 6-9 years","1"
"2022","person","","aged 10-15 years","0"
"2022","person","male","aged 10-15 years","0"
"2022","person","female","aged 10-15 years","0"
"2022","person","","aged 16-17 years","1"
"2022","person","male","aged 16-17 years","1"
"2022","person","female","aged 16-17 years","0"
"2023","person","","","18"
"2023","person","male","","8"
"2023","person","female","","10"
"2023","person","","up to 6 months","1"
"2023","person","male","up to 6 months","0"
"2023","person","female","up to 6 months","1"
"2023","person","","from 6 months to 1 year","2"
"2023","person","male","from 6 months to 1 year","1"
"2023","person","female","from 6 months to 1 year","1"
"2023","person","","aged 1-5 years","5"
"2023","person","male","aged 1-5 years","1"
"2023","person","female","aged 1-5 years","4"
"2023","person","","aged 6-9 years","4"
"2023","person","male","aged 6-9 years","4"
"2023","person","female","aged 6-9 years","0"
"2023","person","","aged 10-15 years","3"
"2023","person","male","aged 10-15 years","2"
"2023","person","female","aged 10-15 years","1"
"2023","person","","aged 16-17 years","3"
"2023","person","male","aged 16-17 years","0"
"2023","person","female","aged 16-17 years","3"
"2024","person","","","24"
"2024","person","boys","","12"
"2024","person","girls","","12"
"2024","person","","up to 6 months","0"
"2024","person","boys","up to 6 months","0"
"2024","person","girls","up to 6 months","0"
"2024","person","","from 6 months to 1 year","4"
"2024","person","boys","from 6 months to 1 year","1"
"2024","person","girls","from 6 months to 1 year","3"
"2024","person","","aged 1-5 years","6"
"2024","person","boys","aged 1-5 years","3"
"2024","person","girls","aged 1-5 years","3"
"2024","person","","aged 6-9 years","3"
"2024","person","boys","aged 6-9 years","1"
"2024","person","girls","aged 6-9 years","2"
"2024","person","","aged 10-15 years","6"
"2024","person","boys","aged 10-15 years","4"
"2024","person","girls","aged 10-15 years","2"
"2024","person","","aged 16-17 years","5"
"2024","person","boys","aged 16-17 years","3"
"2024","person ","girls","aged 16-17 years","2"
