"Year","Tenure_TYPE","Sex","Units","Value"
"2015","","","case","94167"
"2016","","","case","94748"
"2017","","","case","103978"
"2018","","","case","125524"
"2019","","","case","158793"
"2020","","","case","159189"
"2021","","","case","200701"
"2022","","","case","246958"
"2023","","","case","233930"
"2024","","","case","262616"
"2015","","male","case","70428"
"2016","","male","case","69362"
"2017","","male","case","75751"
"2018","","male","case","90719"
"2019","","male","case","115842"
"2020","","male","case","116904"
"2021","","male","case","141646"
"2022","","male","case","177406"
"2023","","male","case","158372"
"2024","","male","case","170599"
"2015","","female","case","23738"
"2016","","female","case","25385"
"2017","","female","case","28226"
"2018","","female","case","34805"
"2019","","female","case","42951"
"2020","","female","case","42285"
"2021","","female","case","59055"
"2022","","female","case","69548"
"2023","","female","case","69548"
"2024","","female","case","91991"
"2015","","neutral","case","1"
"2016","","neutral","case","1"
"2017","","neutral","case","1"
"2018","","neutral","case","0"
"2019","","neutral","case","0"
"2020","","neutral","case","0"
"2021","","neutral","case","0"
"2022","","neutral","case","2"
"2023","","neutral","case","0"
"2024","","neutral","case","26"
"2015","Ownership","male","case","36048"
"2015","Common jointly ownership","male","case","11714"
"2015","Common shared ownership","male","case","18407"
"2015","Lease","male","case","2065"
"2015","Sublease","male","case","61"
"2015","Pledge","male","case","283"
"2015","A right to land development","male","case","583"
"2015","Gratuitous use","male","case","59"
"2015","Use of the residential premises","male","case","5"
"2015","Servitude","male","case","5"
"2015","Right of constructor or unauthorised buidlings","male","case","1091"
"2015","Use","male","case","14"
"2015","Having the right to purchase immovable property under construction","male","case","93"
"2016","Ownership","male","case","34508"
"2016","Common jointly ownership","male","case","11817"
"2016","Common shared ownership","male","case","18308"
"2016","Lease","male","case","2333"
"2016","Sublease","male","case","41"
"2016","Pledge","male","case","262"
"2016","A right to land development","male","case","570"
"2016","Gratuitous use","male","case","79"
"2016","Servitude","male","case","5"
"2016","Right of constructor or unauthorised buidlings","male","case","1037"
"2016","Having the right to purchase immovable property under construction","male","case","21"
"2016","Use","male","case","380"
"2016","Use of the residential premises","male","case","1"
"2017","Ownership","male","case","38934"
"2017","Common jointly ownership","male","case","11531"
"2017","Common shared ownership","male","case","19430"
"2017","Lease","male","case","3211"
"2017","Sublease","male","case","48"
"2017","Pledge","male","case","247"
"2017","A right to land development","male","case","598"
"2017","Gratuitous use","male","case","66"
"2017","Servitude","male","case","8"
"2017","Trust management","male","case","2"
"2017","Right of constructor or unauthorised buidlings","male","case","1133"
"2017","Use","male","case","9"
"2017","Having the right to purchase immovable property under construction","male","case","530"
"2017","Use of unauthorised","male","case","2"
"2017","Use of the residential premises","male","case","2"
"2018","Ownership","male","case","46585"
"2018","Common jointly ownership","male","case","12801"
"2018","Common shared ownership","male","case","24446"
"2018","Lease","male","case","2984"
"2018","Sublease","male","case","58"
"2018","Pledge","male","case","279"
"2018","A right to land development","male","case","644"
"2018","Gratuitous use","male","case","80"
"2018","Use of the residential premises","male","case","2"
"2018","Servitude","male","case","8"
"2018","Trust management","male","case","1"
"2018","Right of constructor or unauthorised buidlings","male","case","1682"
"2018","Use","male","case","10"
"2018","Having the right to purchase immovable property under construction","male","case","1139"
"2019","Ownership","male","case","57327"
"2019","Common jointly ownership","male","case","19255"
"2019","Common shared ownership","male","case","27812"
"2019","Lease","male","case","5072"
"2019","Sublease","male","case","54"
"2019","Pledge","male","case","245"
"2019","A right to land development","male","case","658"
"2019","Gratuitous use","male","case","93"
"2019","Use of the residential premises","male","case","5"
"2019","Servitude","male","case","33"
"2019","Right of constructor or unauthorised buidlings","male","case","1917"
"2019","Use","male","case","17"
"2019","Having the right to purchase immovable property under construction","male","case","3352"
"2019","Use of unauthorised","male","case","1"
"2019","Trust management","male","case","1"
"2020","Ownership","male","case","55119"
"2020","Common jointly ownership","male","case","22596"
"2020","Common shared ownership","male","case","24985"
"2020","Lease","male","case","5401"
"2020","Sublease","male","case","45"
"2020","Pledge","male","case","187"
"2020","A right to land development","male","case","485"
"2020","Gratuitous use","male","case","88"
"2020","Use of the residential premises","male","case","3"
"2020","Servitude","male","case","26"
"2020","Right of constructor or unauthorised buidlings","male","case","1871"
"2020","Use","male","case","32"
"2020","Having the right to purchase immovable property under construction","male","case","6061"
"2020","Use of unauthorised","male","case","4"
"2020","Trust management","male","case","1"
"2021","Ownership","male","case","67894"
"2021","Common jointly ownership","male","case","20941"
"2021","Common shared ownership","male","case","33969"
"2021","Lease","male","case","6252"
"2021","Sublease","male","case","48"
"2021","Pledge","male","case","226"
"2021","A right to land development","male","case","580"
"2021","Gratuitous use","male","case","80"
"2021","Use of the residential premises","male","case","3"
"2021","Servitude","male","case","26"
"2021","Right of constructor or unauthorised buidlings","male","case","1861"
"2021","Use","male","case","12"
"2021","Having the right to purchase immovable property under construction","male","case","9725"
"2021","Trust management","male","case","1"
"2021","Leasing","male","case","1"
"2021","Use of unauthorised","male","case","27"
"2022","Ownership","male","case","77057"
"2022","Common jointly ownership","male","case","20368"
"2022","Common shared ownership","male","case","42337"
"2022","Lease","male","case","4670"
"2022","Sublease","male","case","55"
"2022","Pledge","male","case","324"
"2022","A right to land development","male","case","854"
"2022","Gratuitous use","male","case","137"
"2022","Use of the residential premises","male","case","1"
"2022","Servitude","male","case","47"
"2022","Trust management","male","case","1"
"2022","Right of constructor or unauthorised buidlings","male","case","3034"
"2022","Use","male","case","51"
"2022","Having the right to purchase immovable property under construction","male","case","16726"
"2022","Leasing","male","case","2"
"2022","Use of unauthorised","male","case","11742"
"2023","Ownership","male","case","65981"
"2023","Common jointly ownership","male","case","19670"
"2023","Common shared ownership","male","case","43443"
"2023","Lease","male","case","3368"
"2023","Sublease","male","case","40"
"2023","Pledge","male","case","166"
"2023","A right to land development","male","case","443"
"2023","Gratuitous use","male","case","87"
"2023","Use of the residential premises","male","case","2"
"2023","Servitude","male","case","65"
"2023","Trust management","male","case","5"
"2023","Right of constructor or unauthorised buidlings","male","case","2971"
"2023","Use","male","case","12"
"2023","Having the right to purchase immovable property under construction","male","case","14335"
"2023","Leasing","male","case","1"
"2023","Use of unauthorised","male","case","7783"
"2024","Ownership","male","case","72972"
"2024","Common jointly ownership","male","case","16058"
"2024","Common shared ownership","male","case","52621"
"2024","Lease","male","case","3710"
"2024","Sublease","male","case","391"
"2024","Pledge","male","case","167"
"2024","A right to land development","male","case","433"
"2024","Gratuitous use","male","case","98"
"2024","Use of the residential premises","male","case","2"
"2024","Servitude","male","case","36"
"2024","Trust management","male","case","3"
"2024","Right of constructor or unauthorised buidlings","male","case","2848"
"2024","Use","male","case","11"
"2024","Having the right to purchase immovable property under construction","male","case","19556"
"2024","Use of unauthorised","male","case","1693"
"2015","Ownership","female","case","9514"
"2015","Common jointly ownership","female","case","5116"
"2015","Common shared ownership","female","case","8355"
"2015","Lease","female","case","346"
"2015","Sublease","female","case","3"
"2015","Pledge","female","case","7"
"2015","A right to land development","female","case","117"
"2015","Gratuitous use","female","case","16"
"2015","Use of the residential premises","female","case","3"
"2015","Servitude","female","case","6"
"2015","Right of constructor or unauthorised buidlings","female","case","250"
"2015","Use","female","case","4"
"2015","Having the right to purchase immovable property under construction","female","case","1"
"2016","Ownership","female","case","10144"
"2016","Common jointly ownership","female","case","5636"
"2016","Common shared ownership","female","case","8655"
"2016","Lease","female","case","381"
"2016","Sublease","female","case","4"
"2016","Pledge","female","case","11"
"2016","A right to land development","female","case","121"
"2016","Gratuitous use","female","case","22"
"2016","Use of the residential premises","female","case","2"
"2016","Servitude","female","case","2"
"2016","Right of constructor or unauthorised buidlings","female","case","296"
"2016","Use","female","case","1"
"2016","Having the right to purchase immovable property under construction","female","case","109"
"2016","Use of unauthorised","female","case","1"
