"Year","Units","Regulatory capital to risk-weighted assets","Tier 1 capital to risk-weighted assets","Common Equity Tier 1 capital to risk-weighted assets","Return on assets","Return on equity","Liquid assets to total assets","Liquid assets to short-term liabilities","Value"
"2012","%","16.76","15.20","","2.48","14.76","25.58","126.05",""
"2013","%","16.69","14.46","","1.88","12.00","29.12","142.31",""
"2014","%","14.50","12.69","","1.00","6.40","25.12","129.37",""
"2015","%","16.18","13.95","","-0.50","-3.49","28.01","142.36",""
"2016","%","19.95","16.43","","1.09","7.01","32.46","170.77",""
"2017","%","18.57","15.17","","1.39","8.60","32.15","141.69",""
"2018","%","17.66","15.22","","1.21","7.61","27.28","116.62",""
"2019","%","17.58","15.22","","1.53","10.30","27.07","111.66",""
"2020","%","16.93","14.70","","1.28","9.02","25.62","108.80",""
"2021","%","17.20","15.26","","1.13","8.36","32.03","122.67",""
"2022","%","20.32","19.08","","4.09","27.86","37.01","102.39",""
"2023","%","19.91","17.86","17.61","2.68","17.40","33.17","92.19",""
"2024","%","20.15","18.26","18.05","4.28","27.07","30.78","88.73",""
