"Year","Series","Units","Value"
"2015","Total assistance for development, by recipient countries","millions of current United States dollars","492.924"
"2016","Total assistance for development, by recipient countries","millions of current United States dollars","703.087"
"2017","Total assistance for development, by recipient countries","millions of current United States dollars","502.668"
"2018","Total assistance for development, by recipient countries","millions of current United States dollars","386.577"
"2019","Total assistance for development, by recipient countries","millions of current United States dollars","705.498"
"2020","Total assistance for development, by recipient countries","millions of current United States dollars","151.223"
"2021","Total assistance for development, by recipient countries","millions of current United States dollars","275.312"
"2022","Total assistance for development, by recipient countries","millions of current United States dollars","552.696"
"2023","Total assistance for development, by recipient countries","millions of current United States dollars","126.93"
"2024","Total assistance for development, by recipient countries","millions of current United States dollars","479.529"
