"Year","Units","Disaster type","Value"
"2015","per 100,000 population","","321.8"
"2016","per 100,000 population","","320.0"
"2017","per 100,000 population","","370.6"
"2018","per 100,000 population","","401.4"
"2019","per 100,000 population","","448.7"
"2020","per 100,000 population","","5761.4"
"2015","per 100,000 population","natural hazards","0.4"
"2016","per 100,000 population","natural hazards","0.2"
"2017","per 100,000 population","natural hazards","0.2"
"2018","per 100,000 population","natural hazards","0.2"
"2019","per 100,000 population","natural hazards","0.4"
"2020","per 100,000 population","natural hazards","0.2"
"2015","per 100,000 population","man-made emergency events","172.7"
"2016","per 100,000 population","man-made emergency events","161.1"
"2017","per 100,000 population","man-made emergency events","186.8"
"2018","per 100,000 population","man-made emergency events","224.8"
"2019","per 100,000 population","man-made emergency events","257.5"
"2020","per 100,000 population","man-made emergency events","218.4"
"2015","per 100,000 population","social-biological emergency events","148.6"
"2016","per 100,000 population","social-biological emergency events","158.7"
"2017","per 100,000 population","social-biological emergency events","183.6"
"2018","per 100,000 population","social-biological emergency events","176.5"
"2019","per 100,000 population","social-biological emergency events","190.8"
"2020","per 100,000 population","social-biological emergency events","5542.8"
"2021","per 100,000 population","","6630.0"
"2021","per 100,000 population","natural hazards","0.4"
"2021","per 100,000 population","man-made emergency events","248.7"
"2021","per 100,000 population","social-biological emergency events","6380.9"
"2022","per 100,000 population","","3749.5"
"2022","per 100,000 population","natural hazards","0.3"
"2022","per 100,000 population","man-made emergency events","234.0"
"2022","per 100,000 population","social-biological emergency events","3515.1"
"2023","per 100,000 population","","557.5"
"2023","per 100,000 population","natural hazards","0.4"
"2023","per 100,000 population","man-made emergency events","246.9"
"2023","per 100,000 population","social-biological emergency events","310.3"
"2024","per 100,000 population","","448.7"
"2024","per 100,000 population","natural hazards","19.1"
"2024","per 100,000 population","man-made emergency events","234.5"
"2024","per 100,000 population","social-biological emergency events","195.0"
