Year,Units,Category,Value
2015,"1,000 tons",(a) Food loss,579.9
2016,"1,000 tons",(a) Food loss,523.4
2017,"1,000 tons",(a) Food loss,499
2018,"1,000 tons",(a) Food loss,363
2019,"1,000 tons",(a) Food loss,273.8
2020,"1,000 tons",(a) Food loss,256.1
2021,"1,000 tons",(a) Food loss,217.2
2022,"1,000 tons",(a) Food loss,211.9
2023,"1,000 tons",(a) Food loss,232.9
2015,%,Food loss percentage,4
2016,%,Food loss percentage,3.9
2017,%,Food loss percentage,3.9
2018,%,Food loss percentage,3.7
2019,%,Food loss percentage,3.3
2020,%,Food loss percentage,3
2021,%,Food loss percentage,2.6
2022,%,Food loss percentagey,2.7
2023,%,Food loss percentage,2.9
2024,"1,000 tons",(a) Food loss,208.3
2024,%,Food loss percentage,2.6
