"Year","Units","Membership","Value"
"2015","%","UNCLOS","100"
"2016","%","UNCLOS","100"
"2017","%","UNCLOS","100"
"2018","%","UNCLOS","100"
"2019","%","UNCLOS","100"
"2020","%","UNCLOS","100"
"2021","%","UNCLOS","100"
"2022","%","UNCLOS","100"
"2015","%","Implementation_of_Part_XI ","100"
"2016","%","Implementation_of_Part_XI ","100"
"2017","%","Implementation_of_Part_XI ","100"
"2018","%","Implementation_of_Part_XI ","100"
"2019","%","Implementation_of_Part_XI ","100"
"2020","%","Implementation_of_Part_XI ","100"
"2021","%","Implementation_of_Part_XI ","100"
"2022","%","Implementation_of_Part_XI ","100"
"","","",""
