"Year","Units","Question","Value"
"2015","Points","1","1"
"2015","Points","2","0"
"2015","Points","3","1"
"2015","Points","4","0.6"
"2015","Points","5","1"
"2015","Points","6","0"
"2015","Points","7","0"
"2015","Points","8","0"
"2016","Points","1","1"
"2016","Points","2","0"
"2016","Points","3","1"
"2016","Points","4","0.6"
"2016","Points","5","1"
"2016","Points","6","0"
"2016","Points","7","0"
"2016","Points","8","0"
"2017","Points","1","1"
"2017","Points","2","0"
"2017","Points","3","1"
"2017","Points","4","0.6"
"2017","Points","5","1"
"2017","Points","6","0"
"2017","Points","7","0"
"2017","Points","8","0"
"2018","Points","1","1"
"2018","Points","2","0"
"2018","Points","3","1"
"2018","Points","4","0.6"
"2018","Points","5","1"
"2018","Points","6","0"
"2018","Points","7","0"
"2018","Points","8","0"
"2019","Points","1","1"
"2019","Points","2","0"
"2019","Points","3","1"
"2019","Points","4","0.6"
"2019","Points","5","1"
"2019","Points","6","0"
"2019","Points","7","0"
"2019","Points","8","0"
"2020","Points","1","1"
"2020","Points","2","0"
"2020","Points","3","1"
"2020","Points","4","0.6"
"2020","Points","5","1"
"2020","Points","6","0"
"2020","Points","7","0"
"2020","Points","8","0"
"2021","Points","1","1"
"2021","Points","2","0"
"2021","Points","3","1"
"2021","Points","4","0.6"
"2021","Points","5","1"
"2021","Points","6","0"
"2021","Points","7","0"
"2021","Points","8","0"
"2022","Points","1","1"
"2022","Points","2","0"
"2022","Points","3","1"
"2022","Points","4","0.6"
"2022","Points","5","1"
"2022","Points","6","0"
"2022","Points","7","0"
"2022","Points","8","0"
"2023","Points","1","1"
"2023","Points","2","0"
"2023","Points","3","1"
"2023","Points","4","0.6"
"2023","Points","5","1"
"2023","Points","6","0"
"2023","Points","7","0"
"2023","Points","8","0"
"2024","Points","1","1"
"2024","Points","2","0"
"2024","Points","3","1"
"2024","Points","4","0.6"
"2024","Points","5","1"
"2024","Points","6","0"
"2024","Points","7","0"
"2024","Points","8","0"
