Year,Sex,Location,Age,Category,Quintiles,Services,Value
2015,,,,,,water supply,83.0
2016,,,,,,water supply,85.8
2017,,,,,,water supply,85.8
2018,,,,,,water supply,87.3
2019,,,,,,water supply,89.6
2020,,,,,,water supply,94.0
2021,,,,,,water supply,95.0
2021,male ,,,,,water supply,93.6
2021,female,,,,,water supply,94.8
2021,,urban,,,,water supply,97.6
2021,,rural,,,,water supply,89.3
2021,,,aged 0-25 years,,,water supply,93.7
2021,,,aged 25-34 years,,,water supply,94.4
2021,,,aged 35-44 years,,,water supply,94.6
2021,,,aged 45-54 years,,,water supply,93.8
2021,,,aged 55-64 years,,,water supply,94.8
2021,,,aged 65 and over,,,water supply,94.5
2021,,,,disabled,,water supply,94.8
2021,,,,,1,water supply,91.2
2021,,,,,2,water supply,94.7
2021,,,,,3,water supply,94.9
2021,,,,,4,water supply,94.6
2021,,,,,5,water supply,95.7
2015,,,,,,sewerage,72.3
2016,,,,,,sewerage,70.8
2017,,,,,,sewerage,74.2
2018,,,,,,sewerage,76.5
2019,,,,,,sewerage,94.6
2020,,,,,,sewerage,97.5
2021,,,,,,sewerage,99.0
2021,male ,,,,,sewerage,99.4
2021,female,,,,,sewerage,99.1
2021,,urban,,,,sewerage,99.3
2021,,rural,,,,sewerage,99.0
2021,,,aged 0-25 years,,,sewerage,99.5
2021,,,aged 25-34 years,,,sewerage,99.2
2021,,,aged 35-44 years,,,sewerage,99.2
2021,,,aged 45-54 years,,,sewerage,99.1
2021,,,aged 55-64 years,,,sewerage,99.5
2021,,,aged 65 and over,,,sewerage,98.7
2021,,,,disabled,,sewerage,99.2
2021,,,,,1,sewerage,99.1
2021,,,,,2,sewerage,99.3
2021,,,,,3,sewerage,99.2
2021,,,,,4,sewerage,99.1
2021,,,,,5,sewerage,99.4
2015,,,,,,garbage disposal,78.2
2016,,,,,,garbage disposal,79.8
2017,,,,,,garbage disposal,76.4
2018,,,,,,garbage disposal,78.7
2019,,,,,,garbage disposal,82.3
2020,,,,,,garbage disposal,96.4
2021,,,,,,garbage disposal,97.7
2021,male ,,,,,garbage disposal,98.0
2021,female,,,,,garbage disposal,97.8
2021,,urban,,,,garbage disposal,98.5
2021,,rural,,,,garbage disposal,96.9
2021,,,aged 0-25 years,,,garbage disposal,98.0
2021,,,aged 25-34 years,,,garbage disposal,97.9
2021,,,aged 35-44 years,,,garbage disposal,98.4
2021,,,aged 45-54 years,,,garbage disposal,97.3
2021,,,aged 55-64 years,,,garbage disposal,97.5
2021,,,aged 65 and over,,,garbage disposal,98.3
2021,,,,disabled,,garbage disposal,97.5
2021,,,,,1,garbage disposal,98.5
2021,,,,,2,garbage disposal,97.7
2021,,,,,3,garbage disposal,97.5
2021,,,,,4,garbage disposal,98.2
2021,,,,,5,garbage disposal,97.6
2015,,,,,,landline telephone,61.1
2016,,,,,,landline telephone,57.1
2017,,,,,,landline telephone,53.1
2018,,,,,,landline telephone,49.2
2019,,,,,,landline telephone,96.7
2020,,,,,,landline telephone,98.8
2021,,,,,,landline telephone,98.6
2021,male ,,,,,landline telephone,100
2021,female,,,,,landline telephone,100
2021,,urban,,,,landline telephone,100
2021,,rural,,,,landline telephone,99.7
2021,,,aged 0-25 years,,,landline telephone,100
2021,,,aged 25-34 years,,,landline telephone,100
2021,,,aged 35-44 years,,,landline telephone,100
2021,,,aged 45-54 years,,,landline telephone,100
2021,,,aged 55-64 years,,,landline telephone,99.9
2021,,,aged 65 and over,,,landline telephone,100
2021,,,,disabled,,landline telephone,99.8
2021,,,,,1,landline telephone,100
2021,,,,,2,landline telephone,100
2021,,,,,3,landline telephone,100
2021,,,,,4,landline telephone,99.9
2021,,,,,5,landline telephone,100
2015,,,,,,electricity supply,97.9
2016,,,,,,electricity supply,98.0
