"Year","Units","category","sex","Age","Value"
"2024","1000 persons","National-level public service personnel","","","39.8"
"2024","1000 persons","National-level public service personnel","male","","19.4"
"2024","1000 persons","National-level public service personnel","female","","20.4"
"2024","1000 persons","Senior Managers","","","0.2"
"2024","1000 persons","Senior Managers","male","","0.2"
"2024","1000 persons","Senior Managers","female","","0"
"2024","1000 persons","Other Managers","","","8.9"
"2024","1000 persons","Other Managers","male","","5.9"
"2024","1000 persons","Other Managers","female","","3"
"2024","1000 persons","Administration Professionals","","","17.3"
"2024","1000 persons","Administration Professionals","male","","8.3"
"2024","1000 persons","Administration Professionals","female","","9"
"2024","1000 persons","Business and Administration Associate Professionalss","","","11.9"
"2024","1000 persons","Business and Administration Associate Professionalss","male","","4.5"
"2024","1000 persons","Business and Administration Associate Professionalss","female","","7.4"
"2024","1000 persons","General and Keyboard Clerks","","","1.5"
"2024","1000 persons","General and Keyboard Clerks","male","","0.5"
"2024","1000 persons","General and Keyboard Clerks","female","","1"
"2024","1000 persons","National-level public service personnel","","15-24","2.1"
"2024","1000 persons","National-level public service personnel","","25-34","5.8"
"2024","1000 persons","National-level public service personnel","","35-44","8.9"
"2024","1000 persons","National-level public service personnel","","45-54","10.3"
"2024","1000 persons","National-level public service personnel","","55-64","10"
"2024","1000 persons","National-level public service personnel","","65 and more","2.6"
"2024","1000 persons","National-level public service personnel","","Has disability","1.8"
"2024","1000 persons","National-level public service personnel","","No disability","38"
