"Year","Units","Category","Position","Sex","Age","Type","Value"
"2024","Ratio","b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Total national-level public service personnel","female","","","0.95"
"2024","Ratio","b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Total national-level public service personnel","female","18-24","","1.51"
"2024","Ratio","b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Total national-level public service personnel","female","25-34","","1.40"
"2024","Ratio","b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Total national-level public service personnel","female","35-44","","0.83"
"2024","Ratio","b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Total national-level public service personnel","female","45-54","","0.98"
"2024","Ratio","b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Total national-level public service personnel","female","55-64","","0.81"
"2024","Ratio","b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Total national-level public service personnel","female","65-74","","0.44"
"2024","Ratio","b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Total national-level public service personnel","female","With disability","","0.61"
"2024","Ratio","b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Senior Managers and other Managers","female","","","0.61"
"2024","Ratio","c) Proportions of positions in the judiciary (national and local), by various characteristics, compared to national distributions","Lower courts","female","","","0.62"
"2024","Ratio","c) Proportions of positions in the judiciary (national and local), by various characteristics, compared to national distributions","Judges of the Constitutional Court","female","","","0.21"
"2024","Ratio","c) Proportions of positions in the judiciary (national and local), by various characteristics, compared to national distributions","Higher courts ","female","","","0.59"
"2024","Ratio","b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","General and Keyboard Clerks","female","","","1.20"
"2024","Ratio","b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Business and Administration Associate Professionalss","female","","","1.15"
"2024","Ratio","b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Administration Professionals ","female","","","0.97"
"2024","Ratio","c) Proportions of positions in the judiciary (national and local), by various characteristics, compared to national distributions","Judges","female","","","0.60"
