Year	Units	Agency	Value
2015	%	WTO	0.625
2016	%	WTO	0.61728
2017	%	WTO	0.60976
2018	%	WTO	0.60976
2019	%	WTO	0.60976
2020	%	WTO	0.60976
2021	%	WTO	0.60976
2015	%	UNGA	0.51813
2016	%	UNGA	0.51813
2017	%	UNGA	0.51813
2018	%	UNGA	0.51813
2019	%	UNGA	0.51813
2020	%	UNGA	0.51813
2021	%	UNGA	0.51813
2022	%	UNGA	0.51813
2015	%	IRDB	0.53191
2016	%	IRDB	0.53191
2019	%	IRDB	0.53191
2017	%	IRBD	0.53191
2018	%	IRBD	0.53191
2020	%	IRBD	0.53191
2021	%	IRBD	0.53191
2015	%	IMF	0.53191
2016	%	IMF	0.53191
2017	%	IMF	0.53191
2018	%	IMF	0.53191
2019	%	IMF	0.53191
2020	%	IMF	0.53191
2021	%	IMF	0.52632
2022	%	IMF	0.52632
2015	%	IFC	0.54348
2016	%	IFC	0.54348
2017	%	IFC	0.54348
2018	%	IFC	0.54348
2019	%	IFC	0.5435
2020	%	IFC	0.54054
2021	%	IFC	0.54054
2022	%	IFC	0.53763
2019	%	ECOSOC	1.85185
2020	%	ECOSOC	1.85185
2021	%	ECOSOC	1.85185
2015	%	ADB	1.4925
2016	%	ADB	1.4925
2017	%	ADB	1.4925
2018	%	ADB	1.4925
2019	%	ADB	1.47059
2020	%	ADB	1.47059
2021	%	ADB	1.47059
2022	%	ADB	1.47059
2022	%	WTO	0.60976
