Year,Series,Units,Value
2010,Amount of tracked exported Environmentally Sound Technologies,USD,19 729 128.00
2011,Amount of tracked exported Environmentally Sound Technologies,USD,17 601 676.00
2012,Amount of tracked exported Environmentally Sound Technologies,USD,18 501 042.00
2013,Amount of tracked exported Environmentally Sound Technologies,USD,24 104 887.00
2014,Amount of tracked exported Environmentally Sound Technologies,USD,22 295 597.00
2015,Amount of tracked exported Environmentally Sound Technologies,USD,17 474 495.00
2016,Amount of tracked exported Environmentally Sound Technologies,USD,23 322 041.00
2017,Amount of tracked exported Environmentally Sound Technologies,USD,29 123 447.30
2018,Amount of tracked exported Environmentally Sound Technologies,USD,32 180 263.70
2019,Amount of tracked exported Environmentally Sound Technologies,USD,47 427 293.00
2020,Amount of tracked exported Environmentally Sound Technologies,USD,30 338 376.10
2021,Amount of tracked exported Environmentally Sound Technologies,USD,34 883 781.80
2022,Amount of tracked exported Environmentally Sound Technologies,USD,102 063 223.80
2023,Amount of tracked exported Environmentally Sound Technologies,USD,128 675 175.40
2024,Amount of tracked exported Environmentally Sound Technologies,USD,110 363 475.70
2010,Amount of tracked imported Environmentally Sound Technologies,USD,229 483 676.00
2011,Amount of tracked imported Environmentally Sound Technologies,USD,174 337 163.00
2012,Amount of tracked imported Environmentally Sound Technologies,USD,177 370 787.00
2013,Amount of tracked imported Environmentally Sound Technologies,USD,238 356 795.00
2014,Amount of tracked imported Environmentally Sound Technologies,USD,240 982 150.00
2015,Amount of tracked imported Environmentally Sound Technologies,USD,161 357 732.00
2016,Amount of tracked imported Environmentally Sound Technologies,USD,165 319 783.00
2017,Amount of tracked imported Environmentally Sound Technologies,USD,216 430 808.20
2018,Amount of tracked imported Environmentally Sound Technologies,USD,291 616 633.70
2019,Amount of tracked imported Environmentally Sound Technologies,USD,284 135 254.40
2020,Amount of tracked imported Environmentally Sound Technologies,USD,343 301 048.00
2021,Amount of tracked imported Environmentally Sound Technologies,USD,344 367 925.10
2022,Amount of tracked imported Environmentally Sound Technologies,USD,367 618 683.50
2023,Amount of tracked imported Environmentally Sound Technologies,USD,426 809 065.00
2024,Amount of tracked imported Environmentally Sound Technologies,USD,450 667 538.10
2010,Amount of tracked re-exported Environmentally Sound Technologies,USD,3 114 851.00
2011,Amount of tracked re-exported Environmentally Sound Technologies,USD,5 384 076.00
2012,Amount of tracked re-exported Environmentally Sound Technologies,USD,4 630 692.00
2013,Amount of tracked re-exported Environmentally Sound Technologies,USD,4 046 070.00
2014,Amount of tracked re-exported Environmentally Sound Technologies,USD,4 794 390.00
2015,Amount of tracked re-exported Environmentally Sound Technologies,USD,3 395 509.00
2016,Amount of tracked re-exported Environmentally Sound Technologies,USD,2 199 306.00
2017,Amount of tracked re-exported Environmentally Sound Technologies,USD,4 679 074.30
2018,Amount of tracked re-exported Environmentally Sound Technologies,USD,2 837 749.10
2019,Amount of tracked re-exported Environmentally Sound Technologies,USD,2 850 361.80
2020,Amount of tracked re-exported Environmentally Sound Technologies,USD,1 749 894.20
2021,Amount of tracked re-exported Environmentally Sound Technologies,USD,1 658 273.70
2022,Amount of tracked re-exported Environmentally Sound Technologies,USD,729 844.40
2023,Amount of tracked re-exported Environmentally Sound Technologies,USD,495 557.10
2010,Amount of tracked re-imported Environmentally Sound Technologies,USD,25 144.00
2011,Amount of tracked re-imported Environmentally Sound Technologies,USD,2 621 749.00
2012,Amount of tracked re-imported Environmentally Sound Technologies,USD,83 213.00
2013,Amount of tracked re-imported Environmentally Sound Technologies,USD,108 597.00
2014,Amount of tracked re-imported Environmentally Sound Technologies,USD,71 817.00
2015,Amount of tracked re-imported Environmentally Sound Technologies,USD,190 552.00
2016,Amount of tracked re-imported Environmentally Sound Technologies,USD,133 646.00
2017,Amount of tracked re-imported Environmentally Sound Technologies,USD,148 203.50
2018,Amount of tracked re-imported Environmentally Sound Technologies,USD,600 072.50
2019,Amount of tracked re-imported Environmentally Sound Technologies,USD,34 599.50
2020,Amount of tracked re-imported Environmentally Sound Technologies,USD,39 522.80
2021,Amount of tracked re-imported Environmentally Sound Technologies,USD,207 811.70
2022,Amount of tracked re-imported Environmentally Sound Technologies,USD,323 695.20
2023,Amount of tracked re-imported Environmentally Sound Technologies,USD,147 103.40
2010,Total trade of tracked Environmentally Sound Technologies,USD,252 352 799.00
2011,Total trade of tracked Environmentally Sound Technologies,USD,199 944 664.00
2012,Total trade of tracked Environmentally Sound Technologies,USD,200 585 734.00
2013,Total trade of tracked Environmentally Sound Technologies,USD,266 616 349.00
2014,Total trade of tracked Environmentally Sound Technologies,USD,268 143 954.00
2015,Total trade of tracked Environmentally Sound Technologies,USD,182 418 288.00
2016,Total trade of tracked Environmentally Sound Technologies,USD,190 974 776.00
2017,Total trade of tracked Environmentally Sound Technologies,USD,250 381 533.30
2018,Total trade of tracked Environmentally Sound Technologies,USD,327 234 718.90
2019,Total trade of tracked Environmentally Sound Technologies,USD,334 447 508.80
2020,Total trade of tracked Environmentally Sound Technologies,USD,375 428 841.10
2021,Total trade of tracked Environmentally Sound Technologies,USD,381 117 792.30
2022,Total trade of tracked Environmentally Sound Technologies,USD,470 735 446.90
2023,Total trade of tracked Environmentally Sound Technologies,USD,556 126 900.90
2024,Total trade of tracked Environmentally Sound Technologies,USD,561 031 013.70
