"Year","Units","Indicator","Value"
"2016","%","Consumer Prices, Food Indices (2015 = 100)","-1.4"
"2017","%","Consumer Prices, Food Indices (2015 = 100)","-0.4"
"2018","%","Consumer Prices, Food Indices (2015 = 100)","2.1"
"2019","%","Consumer Prices, Food Indices (2015 = 100)","3.5"
"2020","%","Consumer Prices, Food Indices (2015 = 100)","4.8"
"2021","%","Consumer Prices, Food Indices (2015 = 100)","12.3"
"2022","%","Consumer Prices, Food Indices (2015 = 100)","22.0"
"2023","%","Consumer Prices, Food Indices (2015 = 100)","24.4"
"2024","%","Consumer Prices, Food Indices (2015 = 100)","24.8"
"2015","index","Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index, Total","0.75"
"2016","index","Indicator of Food Price Anomalies (IFPA), by Consumer Food Price Index, Total","0.59"
