"Year","Units","Category","Sex","Value"
"2015","per 1,000 life births","0-28 days","Ընդամենը","6.3"
"2016","per 1,000 life births","0-28 days","Ընդամենը","6.1"
"2017","per 1,000 life births","0-28 days","Ընդամենը","6.2"
"2018","per 1,000 life births","0-28 days","Ընդամենը","5.0"
"2019","per 1,000 life births","0-28 days","Ընդամենը","4.7"
"2020","per 1,000 life births","0-28 days","Ընդամենը","5.6"
"2021","per 1,000 life births","0-28 days","Ընդամենը","4.9"
"2015","per 1,000 life births","0-28 days","տղա","6.5"
"2016","per 1,000 life births","0-28 days","տղա","7.1"
"2017","per 1,000 life births","0-28 days","տղա","6.8"
"2018","per 1,000 life births","0-28 days","տղա","5.2"
"2019","per 1,000 life births","0-28 days","տղա","5.6"
"2020","per 1,000 life births","0-28 days","տղա","6.7"
"2021","per 1,000 life births","0-28 days","տղա","5.5"
"2015","per 1,000 life births","0-28 days","աղջիկ","6.0"
"2016","per 1,000 life births","0-28 days","աղջիկ","5.1"
"2017","per 1,000 life births","0-28 days","աղջիկ","5.6"
"2018","per 1,000 life births","0-28 days","աղջիկ","4.7"
"2019","per 1,000 life births","0-28 days","աղջիկ","3.7"
"2020","per 1,000 life births","0-28 days","աղջիկ","4.5"
"2021","per 1,000 life births","0-28 days","աղջիկ","4.3"
