"Year","Units","Value"
"2015","per 1,000 uninfected population","0.06"
"2016","per 1,000 uninfected population","0.06"
"2017","per 1,000 uninfected population","0.06"
"2018","per 1,000 uninfected population","0.14"
"2019","per 1,000 uninfected population","0.15"
"2020","per 1,000 uninfected population","0.12"
"2021","per 1,000 uninfected population","0.14"
"2022","per 1,000 uninfected population","0.18"
"2023","per 1,000 uninfected population","0.17"
"2024","per 1,000 uninfected population","0.18"
