"Year","Indicator","Units","Value"
"2015","Number of patients with leishmaniasis","person","18"
"2016","Number of patients with leishmaniasis","person","18"
"2017","Number of patients with leishmaniasis","person","17"
"2018","Number of patients with leishmaniasis","person","17"
"2019","Number of patients with leishmaniasis","person","17"
"2020","Number of patients with leishmaniasis","person","16"
"2021","Number of patients with leishmaniasis","person","11"
"2022","Number of patients with leishmaniasis","person","14"
"2023","Number of patients with leishmaniasis","person","30"
2015,"Case of death from leishmaniosiscase",0.0 
