Year,Units,Days,Age,Sex,Location,Category,Value
2023-2024,hours,all days,,total,,,3.07
2023-2024,hours,weekdays,,total,,,2.9
2023-2024,hours,weekends,,total,,,3.6
2023-2024,hours,all days,,female,,,4.68
2023-2024,hours,weekdays,,female,,,4.55
2023-2024,hours,weekends,,female,,,5.05
2023-2024,hours,all days,,male,,,1.05
2023-2024,hours,weekdays,,male,,,0.92
2023-2024,hours,weekends,,male,,,1.52
2023-2024,hours,all days,15-24,total,,,1.13
2023-2024,hours,all days,25-34,total,,,4.25
2023-2024,hours,all days,35-49,total,,,3.68
2023-2024,hours,all days,50-64,total,,,2.83
2023-2024,hours,all days,65-80,total,,,3.07
2023-2024,hours,all days,15-24,female,,,1.77
2023-2024,hours,all days,25-34,female,,,7
2023-2024,hours,all days,35-49,female,,,5.33
2023-2024,hours,all days,50-64,female,,,4.27
2023-2024,hours,all days,65-80,female,,,4.3
2023-2024,hours,all days,15-24,male,,,0.62
2023-2024,hours,all days,25-34,male,,,1.22
2023-2024,hours,all days,35-49,male,,,1.02
2023-2024,hours,all days,50-64,male,,,1.12
2023-2024,hours,all days,65-80,male,,,1.3
2023-2024,hours,weekdays,15-24,total,,,0.87
2023-2024,hours,weekdays,25-34,total,,,4.22
2023-2024,hours,weekdays,35-49,total,,,3.48
2023-2024,hours,weekdays,50-64,total,,,2.57
2023-2024,hours,weekdays,65-80,total,,,3.07
2023-2024,hours,weekdays,15-24,female,,,1.35
2023-2024,hours,weekdays,25-34,female,,,7.32
2023-2024,hours,weekdays,35-49,female,,,5.2
2023-2024,hours,weekdays,50-64,female,,,4.03
2023-2024,hours,weekdays,65-80,female,,,4.32
2023-2024,hours,weekdays,15-24,male,,,0.5
2023-2024,hours,weekdays,25-34,male,,,1.1
2023-2024,hours,weekdays,35-49,male,,,0.98
2023-2024,hours,weekdays,50-64,male,,,0.8
2023-2024,hours,weekdays,65-80,male,,,1.25
2023-2024,hours,weekends,15-24,total,,,1.98
2023-2024,hours,weekends,25-34,total,,,4.37
2023-2024,hours,weekends,35-49,total,,,4.33
2023-2024,hours,weekends,50-64,total,,,3.65
2023-2024,hours,weekends,65-80,total,,,3.05
2023-2024,hours,weekends,15-24,female,,,3.07
2023-2024,hours,weekends,25-34,female,,,6.25
2023-2024,hours,weekends,35-49,female,,,5.72
2023-2024,hours,weekends,50-64,female,,,4.97
2023-2024,hours,weekends,65-80,female,,,4.23
2023-2024,hours,weekends,15-24,male,,,1.03
2023-2024,hours,weekends,25-34,male,,,1.65
2023-2024,hours,weekends,35-49,male,,,1.22
2023-2024,hours,weekends,50-64,male,,,2.08
2023-2024,hours,weekends,65-80,male,,,1.42
2023-2024,hours,all days,,total,Armenia,,3.07
2023-2024,hours,all days,,total,Yerevan,,3.03
2023-2024,hours,all days,,total,Other Urban,,3.43
2023-2024,hours,all days,,total,Rural,,2.97
2023-2024,hours,all days,,female,Armenia,,4.68
2023-2024,hours,all days,,female,Yerevan,,4.42
2023-2024,hours,all days,,female,Other Urban,,4.93
2023-2024,hours,all days,,female,Rural,,4.75
2023-2024,hours,all days,,male,Armenia,,1.05
2023-2024,hours,all days,,male,Yerevan,,1.18
2023-2024,hours,all days,,male,Other Urban,,1.22
2023-2024,hours,all days,,male,Rural,,0.92
2023-2024,hours,weekdays,,total,Armenia,,2.9
2023-2024,hours,weekdays,,total,Yerevan,,3.02
2023-2024,hours,weekdays,,total,Other Urban,,3.33
2023-2024,hours,weekdays,,total,Rural,,2.68
2023-2024,hours,weekdays,,female,Armenia,,4.55
2023-2024,hours,weekdays,,female,Yerevan,,4.42
2023-2024,hours,weekdays,,female,Other Urban,,4.88
2023-2024,hours,weekdays,,female,Rural,,4.5
2023-2024,hours,weekdays,,male,Armenia,,0.92
2023-2024,hours,weekdays,,male,Yerevan,,1.17
2023-2024,hours,weekdays,,male,Other Urban,,1.02
2023-2024,hours,weekdays,,male,Rural,,0.75
2023-2024,hours,weekends,,total,Armenia,,3.6
2023-2024,hours,weekends,,total,Yerevan,,3.05
2023-2024,hours,weekends,,total,Other Urban,,3.72
2023-2024,hours,weekends,,total,Rural,,4.03
2023-2024,hours,weekends,,female,Armenia,,5.05
2023-2024,hours,weekends,,female,Yerevan,,4.43
2023-2024,hours,weekends,,female,Other Urban,,5.07
2023-2024,hours,weekends,,female,Rural,,5.55
2023-2024,hours,weekends,,male,Armenia,,1.52
2023-2024,hours,weekends,,male,Yerevan,,1.23
2023-2024,hours,weekends,,male,Other Urban,,1.72
2023-2024,hours,weekends,,male,Rural,,1.68
2023-2024,hours,all days,,total,,Employed,1.68
2023-2024,hours,all days,,total,,Unemployed,4.32
2023-2024,hours,all days,,total,,Population outside the labour force,4.25
2023-2024,hours,all days,,female,,Employed,3.07
2023-2024,hours,all days,,female,,Population outside the labour force,6.28
2023-2024,hours,all days,,female,,Unemployed,5.32
2023-2024,hours,all days,,male,,Employed,0.75
2023-2024,hours,all days,,male,,Unemployed,2.1
2023-2024,hours,all days,,male,,Population outside the labour force,1.28
2023-2024,hours,weekdays,,total,,Employed,1.35
2023-2024,hours,weekdays,,total,,Unemployed,4.23
2023-2024,hours,weekdays,,total,,Population outside the labour force,4.3
2023-2024,hours,weekdays,,female,,Employed,2.58
2023-2024,hours,weekdays,,female,,Unemployed,6.23
2023-2024,hours,weekdays,,female,,Population outside the labour force,5.37
2023-2024,hours,weekdays,,male,,Employed,0.6
2023-2024,hours,weekdays,,male,,Unemployed,1.98
2023-2024,hours,weekdays,,male,,Population outside the labour force,1.25
2023-2024,hours,weekends,,total,,Employed,2.8
2023-2024,hours,weekends,,total,,Unemployed,4.52
2023-2024,hours,weekends,,total,,Population outside the labour force,4.1
2023-2024,hours,weekends,,female,,Employed,4.45
2023-2024,hours,weekends,,female,,Unemployed,6.4
2023-2024,hours,weekends,,female,,Population outside the labour force,5.13
2023-2024,hours,weekends,,male,,Employed,1.37
2023-2024,hours,weekends,,male,,Unemployed,2.38
2023-2024,hours,weekends,,male,,Population outside the labour force,1.38
