"Year","Units","Age","Location","Value"
"2015","%","","","29.1"
"2016","%","","","29.4"
"2017","%","","","28.7"
"2018","%","","","25.8"
"2019","%","","","26.2"
"2020","%","","","30.8"
"2015","%","","urban","32.4"
"2016","%","","urban","32.2"
"2017","%","","urban","29.5"
"2018","%","","urban","27.3"
"2019","%","","urban","27.6"
"2020","%","","urban","29.2"
"2020","%","30-44","","30.0"
"2015","%","","rural","17.3"
"2016","%","","rural","19.9"
"2017","%","","rural","25.6"
"2018","%","","rural","21.6"
"2019","%","","rural","22.0"
"2020","%","","rural","34.6"
"2020","%","45-59","","37.1"
"2021","%","","","32.4"
"2018","%","30-44","","29.3"
"2018","%","45-59","","19.6"
"2018","%","60-74","","18.8"
"2018","%","15-64","","25.9"
"2019","%","30-44","","31.1"
"2019","%","45-59","","26.6"
"2019","%","60-74","","14.8"
"2019","%","15-64","","27.3"
"2020","%","60-74","","23.2"
"2020","%","15-64","","31.2"
"2021","%","","urban","30.5"
"2021","%","","rural","37.3"
"2021","%","30-44","","26.4"
"2021","%","45-59","","41.1"
"2021","%","60-74","","30.2"
"2021","%","15-64","","32.1"
"2022","%","30-44","","23.1"
"2022","%","45-59","","38.8"
"2022","%","60-74","","22.6"
"2022","%","15-64","","28.8"
"2022","%","","urban","31.3"
"2022","%","","rural","19.3"
"2022","%","","","29.1"
"2023","%","","","33.0"
"2023","%","30-44","","30.5"
"2023","%","45-59","","41.5"
"2023","%","60-74","","20.7"
"2023","%","15-64","","34.1"
"2023","%","","urban","34.1"
"2023","%","","rural","28.7"
"2024","%","15-74","","24.5"
"2024","%","30-44","","28.6"
"2024","%","45-59","","21.7"
"2024","%","60-74","","23.2"
"2024","%","15-64","","25.2"
"2024","%","","urban","24.5"
"2024","%","","rural","24.3"
