"Year","Units","Location","Value"
"2015","%","","96.0"
"2016","%","","97.0"
"2017","%","","97.0"
"2018","%","","98.0"
"2019","%","","97.0"
"2020","%","","99.3"
"2021","%","","99.3"
"2015","%","urban","96.0"
"2016","%","urban","97.0"
"2017","%","urban","97.0"
"2018","%","urban","98.0"
"2019","%","urban","97.0"
"2020","%","urban","99.2"
"2021","%","urban","89.9"
"2015","%","rural","97.0"
"2016","%","rural","97.0"
"2017","%","rural","97.0"
"2018","%","rural","98.0"
"2019","%","rural","97.0"
"2020","%","rural","99.6"
"2021","%","rural","99.9"
"2022","%","","98.2"
"2022","%","urban","97.8"
"2022","%","rural","99.0"
"2023","%","","98.9"
"2023","%","urban","98.7"
"2023","%","rural","99.1"
"2024","%","","98.3"
"2024","%","urban","98.3"
"2024","%","rural","98.3"
