"Year","Units","Branches/ATMs","Value"
"2015","per 100,000 adults","ATMs","59.0"
"2016","per 100,000 adults","ATMs","60.1"
"2017","per 100,000 adults","ATMs","63.0"
"2018","per 100,000 adults","ATMs","65.0"
"2019","per 100,000 adults","ATMs","67.9"
"2020","per 100,000 adults","ATMs","67.9"
"2021","per 100,000 adults","ATMs","70.3"
"2022","per 100,000 adults","ATMs","69.6"
"2015","per 100,000 adults","Branches","22.8"
"2016","per 100,000 adults","Branches","22.7"
"2017","per 100,000 adults","Branches","22.9"
"2018","per 100,000 adults","Branches","23.4"
"2019","per 100,000 adults","Branches","24.1"
"2020","per 100,000 adults","Branches","24.4"
"2021","per 100,000 adults","Branches","24.1"
"2022","per 100,000 adults","Branches","24.2"
"2023","per 100,000 adults","ATMs","69.2"
"2024","per 100,000 adults","ATMs","71.5"
"2025","per 100,000 adults","ATMs","71.6"
"2023","per 100,000 adults","Branches","22.9"
"2024","per 100,000 adults","Branches","22.7"
"2025","per 100,000 adults","Branches","22.4"
"2015","per 100,000 adults","ATMs","58.8"
"2016","per 100,000 adults","ATMs","58.6"
"2017","per 100,000 adults","ATMs","61.1"
"2018","per 100,000 adults","ATMs","64.9"
"2019","per 100,000 adults","ATMs","67.9"
"2020","per 100,000 adults","ATMs","67.8"
"2021","per 100,000 adults","ATMs","70.5"
"2022","per 100,000 adults","ATMs","69.6"
"2015","per 100,000 adults","Branches","21.6"
"2016","per 100,000 adults","Branches","21.9"
"2017","per 100,000 adults","Branches","22.1"
"2018","per 100,000 adults","Branches","22.7"
"2019","per 100,000 adults","Branches","23.3"
"2020","per 100,000 adults","Branches","23.6"
"2021","per 100,000 adults","Branches","23.4"
"2022","per 100,000 adults","Branches","23.4"
