"Year","Units","Sex","Value"
"2015","dram","","171615"
"2016","dram","","174445"
"2017","dram","","177817"
"2018","dram","","172727"
"2019","dram","","182673"
"2020","dram","","189716"
"2015","dram","male","203657"
"2016","dram","male","209271"
"2017","dram","male","211720"
"2018","dram","male","210783"
"2019","dram","male","222510"
"2020","dram","male","231520"
"2015","dram","female","135492"
"2016","dram","female","138901"
"2017","dram","female","143016"
"2018","dram","female","136363"
"2019","dram","female","145198"
"2020","dram","female","150306"
"2021","dram","","204048"
"2021","dram","female","161421"
"2021","dram","male","250186"
"2022","dram","","235576"
"2022","dram","female","179882"
"2022","dram","male","295778"
"2023","dram","","269994"
"2023","dram","female","202524"
"2023","dram","male","341388"
"2024","dram","","287172"
"2024","dram","female","218325"
"2024","dram","male","360025"
