"Series","Units","Age","Year","Sex","Type of occupation","Value"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","BOTHSEX","total","562.86"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","BOTHSEX","isco08-1","817.42"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","BOTHSEX","isco08-2","718.07"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","BOTHSEX","isco08-3","564.99"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","BOTHSEX","isco08-4","474.43"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","BOTHSEX","isco08-5","434.38"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","BOTHSEX","isco08-6","526.86"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","BOTHSEX","isco08-7","494.83"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","BOTHSEX","isco08-8","542.56"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","BOTHSEX","isco08-9","388.55"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","FEMALE","total","497.84"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","FEMALE","isco08-1","684.03"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","FEMALE","isco08-2","626.91"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","FEMALE","isco08-3","494.56"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","FEMALE","isco08-4","448.46"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","FEMALE","isco08-5","374.03"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","FEMALE","isco08-6","485.86"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","FEMALE","isco08-7","369.49"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","FEMALE","isco08-8","539.04"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","FEMALE","isco08-9","368.42"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","MALE","total","620.39"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","MALE","isco08-1","878.8"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","MALE","isco08-2","872.27"
"Average hourly earnings of employees by sex and occupation","local currency","15+","2015","MALE","isco08-3","675.12"
