"Year","Units","Category","Age","Sex","Location","Value"
"2015","%","","","","","34.5"
"2016","%","","","","","34.6"
"2017","%","","","","","34.6"
"2018","%","","","","","32.7"
"2019","%","","","","","31.0"
"2020","%","","","","","31.0"
"2015","%","","","male","","23.5"
"2016","%","","","male","","22.7"
"2017","%","","","male","","23.4"
"2018","%","","","male","","21.2"
"2019","%","","","male","","20.8"
"2020","%","","","male","","22.6"
"2015","%","","","female","","44.6"
"2016","%","","","female","","46.5"
"2017","%","","","female","","45.9"
"2018","%","","","female","","44.0"
"2019","%","","","female","","41.6"
"2020","%","","","female","","39.9"
"2015","%","","","","urban","36.1"
"2016","%","","","","urban","35.7"
"2017","%","","","","urban","35.9"
"2018","%","","","","urban","30.8"
"2019","%","","","","urban","30.2"
"2020","%","","","","urban","28.0"
"2015","%","","","","rural","32.2"
"2016","%","","","","rural","32.9"
"2017","%","","","","rural","32.7"
"2018","%","","","","rural","34.9"
"2019","%","","","","rural","32.2"
"2020","%","","","","rural","34.9"
"2015","%","","15-19","","","13.1"
"2016","%","","15-19","","","14.2"
"2017","%","","15-19","","","15.6"
"2018","%","","15-19","","","11.3"
"2019","%","","15-19","","","8.6"
"2020","%","","15-19","","","9.5"
"2015","%","","15-19","male","","9.8"
"2016","%","","15-19","male","","11.3"
"2017","%","","15-19","male","","12.0"
"2018","%","","15-19","male","","7.3"
"2019","%","","15-19","male","","5.4"
"2020","%","","15-19","male","","6.8"
"2015","%","","15-19","female","","16.6"
"2016","%","","15-19","female","","17.7"
"2017","%","","15-19","female","","20.2"
"2018","%","","15-19","female","","14.9"
"2019","%","","15-19","female","","12.3"
"2020","%","","15-19","female","","12.4"
"2015","%","","20-24","","","39.5"
"2016","%","","20-24","","","40.9"
"2017","%","","20-24","","","40.3"
"2018","%","","20-24","","","37.8"
"2019","%","","20-24","","","36.3"
"2020","%","","20-24","","","36.2"
"2015","%","","20-24","male","","29.3"
"2016","%","","20-24","male","","27.8"
"2017","%","","20-24","male","","29.7"
"2018","%","","20-24","male","","24.6"
"2019","%","","20-24","male","","29.3"
"2020","%","","20-24","male","","28.1"
"2015","%","","20-24","female","","48.4"
"2016","%","","20-24","female","","52.7"
"2017","%","","20-24","female","","50.1"
"2018","%","","20-24","female","","50.4"
"2019","%","","20-24","female","","43.5"
"2020","%","","20-24","female","","44.9"
"2015","%","","15-24","","","27.5"
"2016","%","","15-24","","","28.5"
"2017","%","","15-24","","","28.7"
"2018","%","","15-24","","","25.7"
"2019","%","","15-24","","","23.3"
"2020","%","","15-24","","","23.0"
"2015","%","","15-24","male","","20.0"
"2016","%","","15-24","male","","19.5"
"2017","%","","15-24","male","","20.7"
"2018","%","","15-24","male","","16.8"
"2019","%","","15-24","male","","17.8"
"2020","%","","15-24","male","","17.5"
"2015","%","","15-24","female","","34.8"
"2016","%","","15-24","female","","37.8"
"2017","%","","15-24","female","","37.5"
"2018","%","","15-24","female","","34.1"
"2019","%","","15-24","female","","29.3"
"2020","%","","15-24","female","","28.8"
"2015","%","","25-29","","","46.7"
"2016","%","","25-29","","","45.1"
"2017","%","","25-29","","","44.5"
"2018","%","","25-29","","","43.8"
"2019","%","","25-29","","","43.0"
"2020","%","","25-29","","","44.5"
"2015","%","","25-29","male","","30.1"
"2016","%","","25-29","male","","28.5"
"2017","%","","25-29","male","","28.4"
"2018","%","","25-29","male","","27.7"
"2019","%","","25-29","male","","25.7"
"2020","%","","25-29","male","","31.3"
"2015","%","","25-29","female","","60.8"
"2016","%","","25-29","female","","60.4"
"2017","%","","25-29","female","","59.1"
"2018","%","","25-29","female","","60.6"
"2019","%","","25-29","female","","59.7"
"2020","%","","25-29","female","","58.0"
"2021","%","","","","","28.3"
"2021","%","","","male","","19.2"
"2021","%","","","female","","37.3"
"2021","%","","","","urban","27.0"
"2021","%","","","","rural","30.0"
"2021","%","","15-19","","","6.6"
"2021","%","","15-19","male","","6.8"
"2021","%","","15-19","female","","6.3"
"2021","%","","20-24","","","35.1"
"2021","%","","20-24","male","","26.6"
"2021","%","","20-24","female","","43.4"
"2021","%","","15-24","","","20.3"
"2021","%","","15-24","male","","16.2"
"2021","%","","15-24","female","","24.6"
"2021","%","","25-29","","","41.6"
"2021","%","","25-29","male","","24.6"
"2021","%","","25-29","female","","57.1"
"2018","%","with disabilities ","","","","54.6"
"2019","%","with disabilities ","","","","56.4"
"2020","%","with disabilities ","","","","52.3"
"2021","%","with disabilities ","","","","63.0"
"2022","%","with disabilities ","","","","60.9"
"2022","%","","","","","25.9"
"2022","%","","15-19","","","8.0"
"2022","%","","15-19","male","","7.4"
"2022","%","","15-19","female","","8.8"
"2022","%","","20-24","","","31.1"
"2022","%","","20-24","male","","20.0"
"2022","%","","20-24","female","","43.2"
"2022","%","","15-24","","","19.0"
"2022","%","","15-24","male","","13.2"
"2022","%","","15-24","female","","25.5"
"2022","%","","25-29","","","38.6"
"2022","%","","25-29","male","","20.7"
"2022","%","","25-29","female","","55.4"
"2022","%","","","","urban","24.6"
"2022","%","","","","rural","28.1"
"2022","%","","","male","","15.7"
"2022","%","","","female","","36.8"
"2023","%","","","","","24.4"
"2023","%","","15-19","","","8.4"
"2023","%","","15-19","male","","6.6"
"2023","%","","15-19","female","","10.3"
"2023","%","","20-24","","","25.9"
"2023","%","","20-24","male","","21.3"
"2023","%","","20-24","female","","31.3"
"2023","%","","15-24","","","16.9"
"2023","%","","15-24","male","","13.8"
"2023","%","","15-24","female","","20.3"
"2023","%","","25-29","","","37.6"
"2023","%","","25-29","male","","20.9"
"2023","%","","25-29","female","","55.9"
"2023","%","","","","urban","23.4"
"2023","%","","","","rural","26.0"
"2023","%","","","male","","16.4"
"2023","%","","","female","","33.3"
"2023","%","with disabilities ","","","","54.3"
