"Year","Series","Units","Value"
"2015","Total official flows (disbursement) for Aid for Trade, by recipient countries","mill constant 2024 USD","240.726"
"2016","Total official flows (disbursement) for Aid for Trade, by recipient countries","mill constant 2024 USD","198.952"
"2017","Total official flows (disbursement) for Aid for Trade, by recipient countries","mill constant 2024 USD","237.62"
"2018","Total official flows (disbursement) for Aid for Trade, by recipient countries","mill constant 2024 USD","115.731"
"2019","Total official flows (disbursement) for Aid for Trade, by recipient countries","mill constant 2024 USD","84.4021"
"2020","Total official flows (disbursement) for Aid for Trade, by recipient countries","mill constant 2024 USD","102.029"
"2021","Total official flows (disbursement) for Aid for Trade, by recipient countries","mill constant 2024 USD","194.551"
"2022","Total official flows (disbursement) for Aid for Trade, by recipient countries","mill constant 2024 USD","254.316"
"2023","Total official flows (disbursement) for Aid for Trade, by recipient countries","mill constant 2024 USD","97.0976"
"2024","Total official flows (disbursement) for Aid for Trade, by recipient countries","mill constant 2024 USD","61.1282"
"2015","Total official flows (commitments) for Aid for Trade, by recipient countries","mill constant 2024 USD","300.996"
"2016","Total official flows (commitments) for Aid for Trade, by recipient countries","mill constant 2024 USD","265.243"
"2017","Total official flows (commitments) for Aid for Trade, by recipient countries","mill constant 2024 USD","157.939"
"2018","Total official flows (commitments) for Aid for Trade, by recipient countries","mill constant 2024 USD","53.7545"
"2019","Total official flows (commitments) for Aid for Trade, by recipient countries","mill constant 2024 USD","119.822"
"2020","Total official flows (commitments) for Aid for Trade, by recipient countries","mill constant 2024 USD","124.756"
"2021","Total official flows (commitments) for Aid for Trade, by recipient countries","mill constant 2024 USD","224.775"
"2022","Total official flows (commitments) for Aid for Trade, by recipient countries","mill constant 2024 USD","42.628"
"2023","Total official flows (commitments) for Aid for Trade, by recipient countries","mill constant 2024 USD","48.5641"
"2024","Total official flows (commitments) for Aid for Trade, by recipient countries","mill constant 2024 USD","78.9039"
