Year,Units,Type,Value
2015,%,Total area of specially protected areas as a percentage of country area,13
2015,unit,Total number of state reserves (category Ib),3
2015,%,Total area of state reserves (category Ib) in % of the country's territory,1
2015,unit,Total number of national parks (category II),4
2015,%,Total area of national parks (category II) in % of the country's territory,8
2015,unit,Total number of state preserves (category IV),27
2015,%,Total area of state preserves (category IV) in % of the country's territory,4
2015,unit,Total number of natural monuments (category III),232
2016,%,Total area of specially protected areas as a percentage of country area,13
2016,unit,Total number of state reserves (category Ib),3
2016,%,Total area of state reserves (category Ib) in % of the country's territory,1
2016,unit,Total number of national parks (category II),4
2016,%,Total area of national parks (category II) in % of the country's territory,8
2016,unit,Total number of state preserves (category IV),27
2016,%,Total area of state preserves (category IV) in % of the country's territory,4
2016,unit,Total number of natural monuments (category III),232
2017,%,Total area of specially protected areas as a percentage of country area,13
2017,unit,Total number of state reserves (category Ib),3
2017,%,Total area of state reserves (category Ib) in % of the country's territory,1
2017,unit,Total number of national parks (category II),4
2017,%,Total area of national parks (category II) in % of the country's territory,8
2017,unit,Total number of state preserves (category IV),27
2017,%,Total area of state preserves (category IV) in % of the country's territory,4
2017,unit,Total number of natural monuments (category III),232
2018,%,Total area of specially protected areas as a percentage of country area,13
2018,unit,Total number of state reserves (category Ib),3
2018,%,Total area of state reserves (category Ib) in % of the country's territory,1
2018,unit,Total number of national parks (category II),4
2018,%,Total area of national parks (category II) in % of the country's territory,8
2018,unit,Total number of state preserves (category IV),27
2018,%,Total area of state preserves (category IV) in % of the country's territory,4
2018,unit,Total number of natural monuments (category III),232
2019,%,Total area of specially protected areas as a percentage of country area,13
2019,unit,Total number of state reserves (category Ib),3
2019,%,Total area of state reserves (category Ib) in % of the country's territory,1
2019,unit,Total number of national parks (category II),4
2019,%,Total area of national parks (category II) in % of the country's territory,8
2019,unit,Total number of state preserves (category IV),27
2019,%,Total area of state preserves (category IV) in % of the country's territory,4
2019,unit,Total number of natural monuments (category III),232
2020,%,Total area of specially protected areas as a percentage of country area,13
2020,unit,Total number of state reserves (category Ib),3
2020,%,Total area of state reserves (category Ib) in % of the country's territory,1
2020,unit,Total number of national parks (category II),4
2020,%,Total area of national parks (category II) in % of the country's territory,8
2020,unit,Total number of state preserves (category IV),27
2020,%,Total area of state preserves (category IV) in % of the country's territory,4
2020,unit,Total number of natural monuments (category III),232
2021,%,Total area of specially protected areas as a percentage of country area,13
2021,unit,Total number of state reserves (category Ib),3
2021,%,Total area of state reserves (category Ib) in % of the country's territory,1
2021,unit,Total number of national parks (category II),4
2021,%,Total area of national parks (category II) in % of the country's territory,8
2021,unit,Total number of state preserves (category IV),27
2021,%,Total area of state preserves (category IV) in % of the country's territory,4
2021,unit,Total number of natural monuments (category III),232
2022,%,Total area of specially protected areas as a percentage of country area,13
2022,unit,Total number of state reserves (category Ib),3
2022,%,Total area of state reserves (category Ib) in % of the country's territory,1
2022,unit,Total number of national parks (category II),4
2022,%,Total area of national parks (category II) in % of the country's territory,8
2022,unit,Total number of state preserves (category IV),27
2022,%,Total area of state preserves (category IV) in % of the country's territory,4
2022,unit,Total number of natural monuments (category III),233
2023,%,Total area of specially protected areas as a percentage of country area,13
2023,unit,Total number of state reserves (category Ib),3
2023,%,Total area of state reserves (category Ib) in % of the country's territory,1
2023,unit,Total number of national parks (category II),4
2023,%,Total area of national parks (category II) in % of the country's territory,8
2023,unit,Total number of state preserves (category IV),27
2023,%,Total area of state preserves (category IV) in % of the country's territory,4
2023,unit,Total number of natural monuments (category III),233
