Year,Units,Location,Sex,Poverty,Type,Quintiles,Age,Value
2015,"per 100,000 population",,,,,,,
2016,"per 100,000 population",,,,,,,
2022,%,,,,,,,26.0
2022,%,Yerevan,,,,,,22.3
2022,%,other urban,,,,,,29.6
2022,%,,female,,,,,26.1
2022,%,,male,,,,,25.9
2022,%,,,non poor,,,,2.4
2022,%,,,poor,,,,35.3
2022,%,,,extreme poor,,,,64.4
2022,%,,,,disabled,,,32.8
2022,%,,,,,I quintile,,
2022,%,,,,,II quintile,,
2022,%,,,,,III quintile,,
2022,%,,,,,IV quintile,,
2022,%,,,,,V quintile,,
2022,%,,,,,,aged 6-17 years,318.0
2022,%,,,,,,aged 18-64 years,24.9
2022,%,,,,,,aged 65 and over,23.5
2023,%,,,,,,,26.7
2023,%,Yerevan,,,,,,22.7
2023,%,other urban,,,,,,30.6
2023,%,,female,,,,,27.0
2023,%,,male,,,,,26.3
2023,%,,,non poor,,,,23.2
2023,%,,,poor,,,,39.6
2023,%,,,extreme poor,,,,82.1
2023,%,,,,,,aged 6-17 years,30.0
2023,%,,,,,,aged 18-64 years,26.6
2023,%,,,,,,aged 65 and over,23.0
2024,%,,,,,,,21.7
2024,%,Yerevan,,,,,,16.0
2024,%,other urban,,,,,,29.8
2024,%,,female,,,,,22.1
2024,%,,male,,,,,21.3
2024,%,,,non poor,,,,17.7
2024,%,,,poor,,,,38.6
2024,%,,,extreme poor,,,,91.5
2024,%,,,,disabled,,,21.1
2023,%,,,,disabled,,,35.9
2022,%,,,,disabled,,,32.8
2023,%,,,,,,aged 6-17 years,26.7
2023,%,,,,,,aged 18-64 years,20.9
2023,%,,,,,,aged 65 and over,18.7
