Year,Indicator,Units,Value
2015,Foreign direct investment (FDI) inflows,mln. USD,184.1
2016,Foreign direct investment (FDI) inflows,mln. USD,333.8
2017,Foreign direct investment (FDI) inflows,mln. USD,252.7
2018,Foreign direct investment (FDI) inflows,mln. USD,266.9
2019,Foreign direct investment (FDI) inflows,mln. USD,100.3
2020,Foreign direct investment (FDI) inflows,mln. USD,58.6
2021,Foreign direct investment (FDI) inflows,mln. USD,366.4
2022,Foreign direct investment (FDI) inflows,mln. USD,975.7
2023,Foreign direct investment (FDI) inflows,mln. USD,580.4
2024,Foreign direct investment (FDI) inflows,mln. USD,131.6
