Year,Units,education type,Sex,Value
2015,%,secondary,,86.4
2016,%,secondary,,86.0
2017,%,secondary,,85.7
2018,%,secondary,,83.0
2019,%,secondary,,83.2
2020,%,secondary,,83.2
2015,%,secondary,male,84.6
2016,%,secondary,male,84.7
2017,%,secondary,male,84.6
2018,%,secondary,male,81.4
2019,%,secondary,male,81.7
2020,%,secondary,male,81.8
2015,%,secondary,female,88.3
2016,%,secondary,female,87.5
2017,%,secondary,female,87.0
2018,%,secondary,female,84.7
2019,%,secondary,female,85.0
2020,%,secondary,female,84.9
2015,%,primary,,91.6
2016,%,primary,,91.2
2017,%,primary,,91.3
2018,%,primary,,91.1
2019,%,primary,,92.9
2020,%,primary,,93.2
2015,%,primary,male,91.6
2016,%,primary,male,91.3
2017,%,primary,male,91.5
2018,%,primary,male,90.9
2019,%,primary,male,92.3
2020,%,primary,male,93.0
2015,%,primary,female,91.6
2016,%,primary,female,91.2
2017,%,primary,female,91.1
2018,%,primary,female,91.4
2019,%,primary,female,93.6
2020,%,primary,female,93.5
2015,%,Basic,,96.3
2016,%,Basic,,90.7
2017,%,Basic,,90.1
2018,%,Basic,,89.4
2019,%,Basic,,90.0
2020,%,Basic,,90.6
2015,%,Basic,male,95.9
2016,%,Basic,male,90.3
2017,%,Basic,male,89.8
2018,%,Basic,male,88.8
2019,%,Basic,male,89.4
2020,%,Basic,male,90.2
2015,%,Basic,female,96.7
2016,%,Basic,female,91.0
2017,%,Basic,female,90.4
2018,%,Basic,female,90.1
2019,%,Basic,female,90.6
2020,%,Basic,female,91.1
2015,%,high,,57.9
2016,%,high,,65.1
2017,%,high,,65.5
2018,%,high,,59.9
2019,%,high,,59.5
2020,%,high,,57.9
2015,%,high,male,53.1
2016,%,high,male,59.4
2017,%,high,male,60.5
2018,%,high,male,54.8
2019,%,high,male,54.5
2020,%,high,male,53.0
2015,%,high,female,63.5
2016,%,high,female,71.7
2017,%,high,female,71.1
2018,%,high,female,65.7
2019,%,high,female,65.1
2020,%,high,female,63.5
2015,%,Preliminary (craftsmenship) vocational education,,7.2
2016,%,Preliminary (craftsmenship) vocational education,,8.1
2017,%,Preliminary (craftsmenship) vocational education,,8.6
2018,%,Preliminary (craftsmenship) vocational education,,6.7
2019,%,Preliminary (craftsmenship) vocational education,,6.3
2020,%,Preliminary (craftsmenship) vocational education,,6.2
2015,%,Preliminary (craftsmenship) vocational education,male,9.8
2016,%,Preliminary (craftsmenship) vocational education,male,10.9
2017,%,Preliminary (craftsmenship) vocational education,male,11.4
2018,%,Preliminary (craftsmenship) vocational education,male,9.2
2019,%,Preliminary (craftsmenship) vocational education,male,8.9
2020,%,Preliminary (craftsmenship) vocational education,male,8.9
2015,%,Preliminary (craftsmenship) vocational education,female,4.2
2016,%,Preliminary (craftsmenship) vocational education,female,4.9
2017,%,Preliminary (craftsmenship) vocational education,female,5.4
2018,%,Preliminary (craftsmenship) vocational education,female,3.9
2019,%,Preliminary (craftsmenship) vocational education,female,3.3
2020,%,Preliminary (craftsmenship) vocational education,female,3.1
