Year,Units,Value
2015,"Bank branches per 100,000 adults",21.6
2016,"Bank branches per 100,000 adults",21.9
2017,"Bank branches per 100,000 adults",22.1
2018,"Bank branches per 100,000 adults",22.7
2019,"Bank branches per 100,000 adults",23.3
2020,"Bank branches per 100,000 adults",23.6
2021,"Bank branches per 100,000 adults",23.4
2022,"Bank branches per 100,000 adults",23.4
2015,"ATMs per 100,000 adults",58.8
2016,"ATMs per 100,000 adults",58.6
2017,"ATMs per 100,000 adults",61.1
2018,"ATMs per 100,000 adults",64.9
2019,"ATMs per 100,000 adults",67.9
2020,"ATMs per 100,000 adults",67.8
2021,"ATMs per 100,000 adults",70.5
2022,"ATMs per 100,000 adults",69.6
