Year,Units,Sex,Value
2015,person,,45.0
2016,person,,59.0
2017,person,,57.0
2018,person,,42.0
2019,person,,27.0
2020,person,,24.0
2015,person,male,38.0
2016,person,male,53.0
2017,person,male,56.0
2018,person,male,39.0
2019,person,male,25.0
2020,person,male,21.0
2015,person,female,7.0
2016,person,female,6.0
2017,person,female,1.0
2018,person,female,3.0
2019,person,female,2.0
2020,person,female,3.0
2021,person,,19.0
2021,person,male,19.0
2021,person,female,
2022,person,,21.0
2022,person,male,16.0
2022,person,female,5.0
2023,person,,19.0
2023,person,male,18.0
2023,person,female,1.0
2024,person,,30.0
2024,person,male,25.0
2024,person,female,5.0
