Year,Value,Units
2015,1,"1=compliant, 0=partially compliant"
2016,1,"1=compliant, 0=partially compliant"
2017,1,"1=compliant, 0=partially compliant"
2018,1,"1=compliant, 0=partially compliant"
2015,1,"1=compliant, 0=partially compliant"
2016,1,"1=compliant, 0=partially compliant"
2017,1,"1=compliant, 0=partially compliant"
2018,1,"1=compliant, 0=partially compliant"
2019,1,"1=compliant, 0=partially compliant"
2020,1,"1=compliant, 0=partially compliant"
2021,1,"1=compliant, 0=partially compliant"
2022,1,"1=compliant, 0=partially compliant"
2023,1,"1=compliant, 0=partially compliant"
2024,1,"1=compliant, 0=partially compliant"
