Year,Value,Units,Series
2015,0.008967,%,Developing countries’ and least developed countries’ share of global merchandise exports
2016,0.011164,%,Developing countries’ and least developed countries’ share of global merchandise exports
2017,0.012659,%,Developing countries’ and least developed countries’ share of global merchandise exports
2018,0.01234,%,Developing countries’ and least developed countries’ share of global merchandise exports
2019,0.01389,%,Developing countries’ and least developed countries’ share of global merchandise exports
2020,0.014417,%,Developing countries’ and least developed countries’ share of global merchandise exports
2021,0.01356,%,Developing countries’ and least developed countries’ share of global merchandise exports
2022,0.021524,%,Developing countries’ and least developed countries’ share of global merchandise exports
2023,0.035804,%,Developing countries’ and least developed countries’ share of global merchandise exports
2024,0.053533,%,Developing countries’ and least developed countries’ share of global merchandise exports
2015,0.029839,%,Developing countries’ and least developed countries’ share of global services export
2016,0.032441,%,Developing countries’ and least developed countries’ share of global services export
2017,0.035967,%,Developing countries’ and least developed countries’ share of global services export
2018,0.03554,%,Developing countries’ and least developed countries’ share of global services export
2019,0.038427,%,Developing countries’ and least developed countries’ share of global services export
2020,0.02139,%,Developing countries’ and least developed countries’ share of global services export
2021,0.027521,%,Developing countries’ and least developed countries’ share of global services export
2022,0.059367,%,Developing countries’ and least developed countries’ share of global services export
2023,0.070636,%,Developing countries’ and least developed countries’ share of global services export
2024,0.064198,%,Developing countries’ and least developed countries’ share of global services export
2015,0.019366,%,Developing countries’ and least developed countries’ share of global merchandise imports
2016,0.020203,%,Developing countries’ and least developed countries’ share of global merchandise imports
2017,0.023317,%,Developing countries’ and least developed countries’ share of global merchandise imports
2018,0.025056,%,Developing countries’ and least developed countries’ share of global merchandise imports
2019,0.028535,%,Developing countries’ and least developed countries’ share of global merchandise imports
2020,0.025508,%,Developing countries’ and least developed countries’ share of global merchandise imports
2021,0.023731,%,Developing countries’ and least developed countries’ share of global merchandise imports
2022,0.034172,%,Developing countries’ and least developed countries’ share of global merchandise imports
2023,0.052548,%,Developing countries’ and least developed countries’ share of global merchandise imports
2024,0.068866,%,Developing countries’ and least developed countries’ share of global merchandise imports
2015,0.032347,%,Developing countries’ and least developed countries’ share of global services imports
2016,0.031994,%,Developing countries’ and least developed countries’ share of global services imports
2017,0.034268,%,Developing countries’ and least developed countries’ share of global services imports
2018,0.0371,%,Developing countries’ and least developed countries’ share of global services imports
2019,0.04166,%,Developing countries’ and least developed countries’ share of global services imports
2020,0.02004,%,Developing countries’ and least developed countries’ share of global services imports
2021,0.023444,%,Developing countries’ and least developed countries’ share of global services imports
2022,0.039539,%,Developing countries’ and least developed countries’ share of global services imports
2023,0.045054,%,Developing countries’ and least developed countries’ share of global services imports
2024,0.047621,%,Developing countries’ and least developed countries’ share of global services imports
