Year,Units,Սեռ,Կատեգորիա,Value
2015,մարդ,,,469.0
2016,մարդ,,,478.0
2017,մարդ,,,474.0
2018,մարդ,,,363.0
2019,մարդ,,,351.0
2020,մարդ,,,367.0
2015,մարդ,տղամարդ,,256.0
2016,մարդ,տղամարդ,,273.0
2017,մարդ,տղամարդ,,262.0
2018,մարդ,տղամարդ,,208.0
2019,մարդ,տղամարդ,,199.0
2020,մարդ,տղամարդ,,218.0
2015,մարդ,կին,,213.0
2016,մարդ,կին,,205.0
2017,մարդ,կին,,212.0
2018,մարդ,կին,,155.0
2019,մարդ,կին,,152.0
2020,մարդ,կին,,149.0
2015,%,,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,6.01
2016,%,,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,5.85
2017,%,,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,5.76
2018,%,,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,4.43
2019,%,,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,4.07
2020,%,,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,4.18
2015,%,տղամարդ,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,4.76
2016,%,տղամարդ,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,4.89
2017,%,տղամարդ,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,4.65
2018,%,տղամարդ,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,3.7
2019,%,տղամարդ,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,3.36
2020,%,տղամարդ,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,3.62
2015,%,կին,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,8.78
2016,%,կին,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,7.89
2017,%,կին,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,8.17
2018,%,կին,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,6.03
2019,%,կին,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,5.61
2020,%,կին,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,5.4
2021,մարդ,,,499.0
2021,մարդ,տղամարդ,,285.0
2021,մարդ,կին,,214.0
2021,%,,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,5.43
2021,%,տղամարդ,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,4.54
2021,%,կին,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,7.37
2022,մարդ,,,528.0
2022,մարդ,տղամարդ,,298.0
2022,մարդ,կին,,230.0
2022,%,,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,5.66
2022,%,տղամարդ,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,7.93
2022,%,կին,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,7.77
2023,մարդ,,,492.0
2023,մարդ,տղամարդ,,280.0
2023,մարդ,կին,,212.0
2023,%,,,5.77
2023,%,տղամարդ,,4.83
2023,%,կին,,7.79
2024,%,,,218.0
2024,%,boys,,121.0
2024,%,girls,,97.0
2024,%,,,3.36
2024,%,boys,,2.76
2024,%,girls,,4.6
