Year,Units,Սեռ,Տարիք,Value
2015,մարդ,,,96
2016,մարդ,,,75
2017,մարդ,,,56
2018,մարդ,,,48
2019,մարդ,,,19
2020,մարդ,,,33
2015,մարդ,տղամարդ,,50
2016,մարդ,տղամարդ,,37
2017,մարդ,տղամարդ,,27
2018,մարդ,տղամարդ,,22
2019,մարդ,տղամարդ,,10
2020,մարդ,տղամարդ,,17
2015,մարդ,կին,,46
2016,մարդ,կին,,38
2017,մարդ,կին,,29
2018,մարդ,կին,,26
2019,մարդ,կին,,9
2020,մարդ,կին,,16
2015,մարդ,,մինչև 6 ամսական,1
2016,մարդ,,մինչև 6 ամսական,1
2017,մարդ,,մինչև 6 ամսական,3
2018,մարդ,,մինչև 6 ամսական,1
2019,մարդ,,մինչև 6 ամսական,0
2020,մարդ,,մինչև 6 ամսական,0
2015,մարդ,տղամարդ,մինչև 6 ամսական,0
2016,մարդ,տղամարդ,մինչև 6 ամսական,0
2017,մարդ,տղամարդ,մինչև 6 ամսական,2
2018,մարդ,տղամարդ,մինչև 6 ամսական,0
2019,մարդ,տղամարդ,մինչև 6 ամսական,0
2020,մարդ,տղամարդ,մինչև 6 ամսական,0
2015,մարդ,կին,մինչև 6 ամսական,1
2016,մարդ,կին,մինչև 6 ամսական,1
2017,մարդ,կին,մինչև 6 ամսական,1
2018,մարդ,կին,մինչև 6 ամսական,1
2019,մարդ,կին,մինչև 6 ամսական,0
2020,մարդ,կին,մինչև 6 ամսական,0
2015,մարդ,,6 ամսականից մինչև 1 տարեկան,16
2016,մարդ,,6 ամսականից մինչև 1 տարեկան,11
2017,մարդ,,6 ամսականից մինչև 1 տարեկան,9
2018,մարդ,,6 ամսականից մինչև 1 տարեկան,7
2019,մարդ,,6 ամսականից մինչև 1 տարեկան,0
2020,մարդ,,6 ամսականից մինչև 1 տարեկան,3
2015,մարդ,տղամարդ,6 ամսականից մինչև 1 տարեկան,7
2016,մարդ,տղամարդ,6 ամսականից մինչև 1 տարեկան,5
2017,մարդ,տղամարդ,6 ամսականից մինչև 1 տարեկան,4
2018,մարդ,տղամարդ,6 ամսականից մինչև 1 տարեկան,4
2019,մարդ,տղամարդ,6 ամսականից մինչև 1 տարեկան,0
2020,մարդ,տղամարդ,6 ամսականից մինչև 1 տարեկան,2
2015,մարդ,կին,6 ամսականից մինչև 1 տարեկան,9
2016,մարդ,կին,6 ամսականից մինչև 1 տարեկան,6
2017,մարդ,կին,6 ամսականից մինչև 1 տարեկան,5
2018,մարդ,կին,6 ամսականից մինչև 1 տարեկան,3
2019,մարդ,կին,6 ամսականից մինչև 1 տարեկան,0
2020,մարդ,կին,6 ամսականից մինչև 1 տարեկան,1
2015,մարդ,,1-5 տարեկան,56
2016,մարդ,,1-5 տարեկան,41
2017,մարդ,,1-5 տարեկան,30
2018,մարդ,,1-5 տարեկան,27
