Year,Series,Units,Ապրանքի տեսակը,Value
2015,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,AGR,82.12974
2015,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,ALP,74.38948
2015,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,ARM,100.0
2015,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,CLO,35.6044
2015,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,IND,80.70551
2015,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,TEX,64.0
2016,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,AGR,81.63265
2016,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,ALP,74.533
2016,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,ARM,100.0
2016,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,CLO,34.27332
2016,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,IND,81.69791
2016,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,TEX,61.11111
2017,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,AGR,81.25595
2017,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,ALP,75.83393
2017,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,CLO,48.30986
2017,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,IND,81.35667
2017,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,TEX,85.95041
2018,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,AGR,81.41087
2018,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,ALP,76.09008
2018,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,CLO,48.4507
2018,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,IND,81.56059
2018,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,TEX,88.42975
2019,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,AGR,79.68878
2019,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,ALP,78.88889
2019,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,CLO,52.88832
2019,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,IND,84.63259
2019,Զրոյական սակագնով ներմուծման նկատմամբ կիրառվող սակագնային գծերի համամասնությունը,%,TEX,86.11111
