Year,Units,Գտնվելու վայրը,Սեռ,Աղքատություն,Տեսակ,Քվինտիլներ,Value
2015,"100,000 բնակչի հաշվով",,,,,,
2016,"100,000 բնակչի հաշվով",,,,,,
2019,%,,,,,,2.3
2019,%,քաղաք,,,,,2.5
2019,%,գյուղ,,,,,2.0
2019,%,,կին,,,,2.3
2019,%,,տղամարդ,,,,2.2
2019,%,,,ոչ աղքատ,,,1.7
2019,%,,,աղքատ,,,4.0
2019,%,,,ծայրահեղ աղքատ,,,6.6
2019,%,,,,հաշմանդամներ,,3.1
2019,%,,,,,I-ին քվինտիլ,4.4
2019,%,,,,,II-րդ քվինտիլ,2.0
2019,%,,,,,III-րդ քվինտիլ,1.9
2019,%,,,,,IV-րդ քվինտիլ,1.9
2019,%,,,,,V-րդ քվինտիլ,1.3
2020,%,,,,,,1.5
2020,%,քաղաք,,,,,1.8
2020,%,գյուղ,,,,,1.2
2020,%,,կին,,,,1.5
2020,%,,տղամարդ,,,,1.6
