Year,Series,Units,Value
2020,Direct economic loss attributed to disasters in relation to GDP,%,0.06
2020,Direct agricultural loss attributed to disasters,ԱՄՆ դոլար,7452653.7
2020,Direct economic loss in the housing sector attributed to disasters,ԱՄՆ դոլար,465918.9
2020,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters,ԱՄՆ դոլար,8188.6
2020,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters,ԱՄՆ դոլար,0.0
2021,Direct economic loss attributed to disasters in relation to GDP,%,0.1
2021,Direct agricultural loss attributed to disasters,ԱՄՆ դոլար,15084840.8
2021,Direct economic loss in the housing sector attributed to disasters,ԱՄՆ դոլար,571959.8
2021,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters,ԱՄՆ դոլար,6697.5
2021,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters,ԱՄՆ դոլար,0.0
2022,Direct economic loss attributed to disasters in relation to GDP,%,0.01
2022,Direct agricultural loss attributed to disasters,ԱՄՆ դոլար,1167056.9
2022,Direct economic loss in the housing sector attributed to disasters,ԱՄՆ դոլար,351652.8
2022,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters,ԱՄՆ դոլար,39002.5
2022,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters,ԱՄՆ դոլար,0.0
2023,Direct economic loss attributed to disasters in relation to GDP,%,0.01
2023,Direct agricultural loss attributed to disasters,ԱՄՆ դոլար,1850069.3
2023,Direct economic loss in the housing sector attributed to disasters,ԱՄՆ դոլար,276292.6
2023,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters,ԱՄՆ դոլար,11452.8
2023,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters,ԱՄՆ դոլար,305.8
2024,Direct economic loss attributed to disasters in relation to GDP,%,0.2
2024,Direct agricultural loss attributed to disasters,ԱՄՆ դոլար,14847759.6
2024,Direct economic loss in the housing sector attributed to disasters,ԱՄՆ դոլար,6160984.8
2024,Direct economic loss resulting from damaged or destroyed critical infrastructure attributed to disasters,ԱՄՆ դոլար,24491841.0
2024,Direct economic loss to cultural heritage damaged or destroyed attributed to disasters,ԱՄՆ դոլար,0.0
2024,Direct economic loss to all other damaged or destroyed productive assets attributed to disasters,ԱՄՆ դոլար,6209617.6
2020,Direct economic loss to all other damaged or destroyed productive assets attributed to disasters,ԱՄՆ դոլար,0.0
2021,Direct economic loss to all other damaged or destroyed productive assets attributed to disasters,ԱՄՆ դոլար,0.0
2022,Direct economic loss to all other damaged or destroyed productive assets attributed to disasters,ԱՄՆ դոլար,0.0
2023,Direct economic loss to all other damaged or destroyed productive assets attributed to disasters,ԱՄՆ դոլար,0.0
