Year,Units,Աղետի տեսակ,Value
2015,"100,000 բնակչի հաշվով",,321.8
2016,"100,000 բնակչի հաշվով",,320.0
2017,"100,000 բնակչի հաշվով",,370.6
2018,"100,000 բնակչի հաշվով",,401.4
2019,"100,000 բնակչի հաշվով",,448.7
2020,"100,000 բնակչի հաշվով",,5761.4
2015,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,0.4
2016,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,0.2
2017,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,0.2
2018,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,0.2
2019,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,0.4
2020,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,0.2
2015,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,172.7
2016,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,161.1
2017,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,186.8
2018,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,224.8
2019,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,257.5
2020,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,218.4
2015,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,148.6
2016,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,158.7
2017,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,183.6
2018,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,176.5
2019,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,190.8
2020,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,5542.8
2021,"100,000 բնակչի հաշվով",,6630.0
2021,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,0.4
2021,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,248.7
2021,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,6380.9
2022,"100,000 բնակչի հաշվով",,3749.5
2022,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,0.3
2022,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,234.0
2022,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,3515.1
2023,"100,000 բնակչի հաշվով",,557.5
2023,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,0.4
2023,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,246.9
2023,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,310.3
2024,"100,000 բնակչի հաշվով",,448.7
2024,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,19.1
2024,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,234.5
2024,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,195.0
