Year,Units,Աղետի տեսակ,Value
2020,"100,000 բնակչի հաշվով",տարերային աղետներ,
2020,"100,000 բնակչի հաշվով",տեխնածին աղետներ,
2020,"100,000 բնակչի հաշվով",սոցիալ-կենսաբանական աղետներ,5393.9
2021,"100,000 բնակչի հաշվով",տարերային աղետներ,
2021,"100,000 բնակչի հաշվով",տեխնածին աղետներ,
2021,"100,000 բնակչի հաշվով",սոցիալ-կենսաբանական աղետներ,6253.3
2022,"100,000 բնակչի հաշվով",տարերային աղետներ,
2022,"100,000 բնակչի հաշվով",տեխնածին աղետներ,
2022,"100,000 բնակչի հաշվով",սոցիալ-կենսաբանական աղետներ,3409.3
2023,"100,000 բնակչի հաշվով",տարերային աղետներ,
2023,"100,000 բնակչի հաշվով",տեխնածին աղետներ,
2023,"100,000 բնակչի հաշվով",սոցիալ-կենսաբանական աղետներ,197.7
2024,"100,000 բնակչի հաշվով",տարերային աղետներ,14.8
2024,"100,000 բնակչի հաշվով",տեխնածին աղետներ,
2024,"100,000 բնակչի հաշվով",սոցիալ-կենսաբանական աղետներ,88.6
2020,"100,000 բնակչի հաշվով",,5393.9
2021,"100,000 բնակչի հաշվով",,6253.3
2022,"100,000 բնակչի հաշվով",,3409.3
2023,"100,000 բնակչի հաշվով",,197.7
2024,"100,000 բնակչի հաշվով",,103.4
