Year,Units,Սեռ,Տարիք,Value
2015,per 100 000 population,ընդամենը,15-34 տարեկան,1.5
2015,per 100 000 population,ընդամենը,35-59 տարեկան,1.9
2015,per 100 000 population,ընդամենը,60 և բարձր,1.0
2015,per 100 000 population,տղամարդ,15-34 տարեկան,2.5
2015,per 100 000 population,տղամարդ,35-59 տարեկան,2.4
2015,per 100 000 population,տղամարդ,60 և բարձր,1.0
2015,per 100 000 population,կին,15-34 տարեկան,0.4
2015,per 100 000 population,կին,35-59 տարեկան,1.5
2015,per 100 000 population,կին,60 և բարձր,1.1
2016,per 100 000 population,ընդամենը,15-34 տարեկան,1.8
2016,per 100 000 population,ընդամենը,35-59 տարեկան,1.1
2016,per 100 000 population,ընդամենը,60 և բարձր,1.2
2016,per 100 000 population,տղամարդ,15-34 տարեկան,3.1
2016,per 100 000 population,տղամարդ,35-59 տարեկան,2.0
2016,per 100 000 population,տղամարդ,60 և բարձր,1.5
2016,per 100 000 population,կին,15-34 տարեկան,0.6
2016,per 100 000 population,կին,35-59 տարեկան,0.4
2016,per 100 000 population,կին,60 և բարձր,1.0
2017,per 100 000 population,ընդամենը,15-34 տարեկան,1.4
2017,per 100 000 population,ընդամենը,35-59 տարեկան,2.0
2017,per 100 000 population,ընդամենը,60 և բարձր,1.0
2017,per 100 000 population,տղամարդ,15-34 տարեկան,2.9
2017,per 100 000 population,տղամարդ,35-59 տարեկան,3.6
2017,per 100 000 population,տղամարդ,60 և բարձր,1.0
2017,per 100 000 population,կին,15-34 տարեկան,0.0
2017,per 100 000 population,կին,35-59 տարեկան,0.6
2017,per 100 000 population,կին,60 և բարձր,1.0
2018,per 100 000 population,ընդամենը,15-34 տարեկան,0.2
2018,per 100 000 population,ընդամենը,35-59 տարեկան,0.5
2018,per 100 000 population,ընդամենը,60 և բարձր,0.4
2018,per 100 000 population,տղամարդ,15-34 տարեկան,0.5
2018,per 100 000 population,տղամարդ,35-59 տարեկան,0.9
2018,per 100 000 population,տղամարդ,60 և բարձր,0.9
2018,per 100 000 population,կին,15-34 տարեկան,0.0
2018,per 100 000 population,կին,35-59 տարեկան,0.2
2018,per 100 000 population,կին,60 և բարձր,0.0
2019,per 100 000 population,ընդամենը,15-34 տարեկան,1.2
2019,per 100 000 population,ընդամենը,35-59 տարեկան,0.8
2019,per 100 000 population,ընդամենը,60 և բարձր,1.1
2019,per 100 000 population,տղամարդ,15-34 տարեկան,2.4
2019,per 100 000 population,տղամարդ,35-59 տարեկան,1.6
2019,per 100 000 population,տղամարդ,60 և բարձր,1.3
2019,per 100 000 population,կին,15-34 տարեկան,0.0
2019,per 100 000 population,կին,35-59 տարեկան,0.2
2019,per 100 000 population,կին,60 և բարձր,0.9
2020,per 100 000 population,ընդամենը,15-34 տարեկան,1.2
2020,per 100 000 population,ընդամենը,35-59 տարեկան,0.2
2020,per 100 000 population,ընդամենը,60 և բարձր,1.1
2020,per 100 000 population,տղամարդ,15-34 տարեկան,2.4
2020,per 100 000 population,տղամարդ,35-59 տարեկան,0.5
2020,per 100 000 population,տղամարդ,60 և բարձր,1.7
2020,per 100 000 population,կին,15-34 տարեկան,0.0
2020,per 100 000 population,կին,35-59 տարեկան,0.0
2020,per 100 000 population,կին,60 և բարձր,0.6
2021,per 100 000 population,ընդամենը,15-34 տարեկան,0.7
2021,per 100 000 population,ընդամենը,35-59 տարեկան,0.9
2021,per 100 000 population,ընդամենը,60 և բարձր,1.0
2021,per 100 000 population,տղամարդ,15-34 տարեկան,1.5
2021,per 100 000 population,տղամարդ,35-59 տարեկան,1.8
2021,per 100 000 population,տղամարդ,60 և բարձր,0.9
