Year,Units,Division,Value
2020,%,,102.1
2020,%,ընդհանուր բնույթի հանրային ծառայություններ,95.2
2020,%,պաշտպանություն,125.9
2020,%,"հասարակական կարգ,  անվտանգություն եվ դատական գործունեություն",99.3
2020,%,տնտեսական հարաբերություններ,64.3
2020,%,շրջակա  միջավայրի պաշտպանություն,36.0
2020,%,բնակարանային շինարարություն եվ կոմունալ ծառայություններ,38.8
2020,%,առողջապահություն,130.3
2020,%,"հանգիստ, մշակույթ եվ կրոն",108.7
2020,%,կրթություն,89.3
2020,%,սոցիալական պաշտպանություն,111.1
2021,%,,108.3
2021,%,ընդհանուր բնույթի հանրային ծառայություններ,95.9
2021,%,պաշտպանություն,107.6
2021,%,"հասարակական կարգ,  անվտանգություն եվ դատական գործունեություն",102.2
2021,%,տնտեսական հարաբերություններ,101.9
2021,%,շրջակա  միջավայրի պաշտպանություն,55.9
2021,%,բնակարանային շինարարություն եվ կոմունալ ծառայություններ,64.9
2021,%,առողջապահություն,136.5
2021,%,"հանգիստ, մշակույթ եվ կրոն",99.5
2021,%,կրթություն,97.1
2021,%,սոցիալական պաշտպանություն,122.8
2022,%,,102.7
2022,%,ընդհանուր բնույթի հանրային ծառայություններ,94.7
2022,%,պաշտպանություն,138.4
2022,%,"հասարակական կարգ,  անվտանգություն եվ դատական գործունեություն",114.7
2022,%,տնտեսական հարաբերություններ,83.1
2022,%,շրջակա  միջավայրի պաշտպանություն,69.7
2022,%,բնակարանային շինարարություն եվ կոմունալ ծառայություններ,59.1
2022,%,առողջապահություն,116.1
2022,%,"հանգիստ, մշակույթ եվ կրոն",133.8
2022,%,կրթություն,85.7
2022,%,սոցիալական պաշտպանություն,105.7
2023,%,,98.3
2023,%,ընդհանուր բնույթի հանրային ծառայություններ,101.8
2023,%,պաշտպանություն,101.0
2023,%,"հասարակական կարգ,  անվտանգություն եվ դատական գործունեություն",102.4
2023,%,տնտեսական հարաբերություններ,83.2
2023,%,շրջակա  միջավայրի պաշտպանություն,82.1
2023,%,բնակարանային շինարարություն եվ կոմունալ ծառայություններ,57.4
2023,%,առողջապահություն,94.8
2023,%,"հանգիստ, մշակույթ եվ կրոն",118.9
2023,%,կրթություն,86.6
2023,%,սոցիալական պաշտպանություն,108.0
