Year,Units,Տեսակ,Value
2015,%,,23.2
2016,%,,23.1
2017,%,,22.2
2018,%,,22.3
2019,%,,23.9
2020,%,,25.3
2015,%,հարկային եկամուտներ և տուրքեր,21.2
2016,%,հարկային եկամուտներ և տուրքեր,21.3
2017,%,հարկային եկամուտներ և տուրքեր,20.8
2018,%,հարկային եկամուտներ և տուրքեր,20.9
2019,%,հարկային եկամուտներ և տուրքեր,22.4
2020,%,հարկային եկամուտներ և տուրքեր,22.4
2015,%,այլ եկամուտներ,1.4
2016,%,այլ եկամուտներ,1.2
2017,%,այլ եկամուտներ,1.2
2018,%,այլ եկամուտներ,1.2
2019,%,այլ եկամուտներ,1.3
2020,%,այլ եկամուտներ,2.0
2015,%,պաշտոնական դրամաշնորհներ,0.6
2016,%,պաշտոնական դրամաշնորհներ,0.6
2017,%,պաշտոնական դրամաշնորհներ,0.3
2018,%,պաշտոնական դրամաշնորհներ,0.2
2019,%,պաշտոնական դրամաշնորհներ,0.2
2020,%,պաշտոնական դրամաշնորհներ,0.9
