Year,Units,Սեռ,Value
2015,"1,000 կենդանածնի հաշվով",,10.4
2016,"1,000 կենդանածնի հաշվով",,10.1
2017,"1,000 կենդանածնի հաշվով",,9.6
2018,"1,000 կենդանածնի հաշվով",,8.7
2019,"1,000 կենդանածնի հաշվով",,7.5
2020,"1,000 կենդանածնի հաշվով",,8.2
2021,"1,000 կենդանածնի հաշվով",,8.1
2015,"1,000 կենդանածնի հաշվով",տղա,11.2
2016,"1,000 կենդանածնի հաշվով",տղա,11.5
2017,"1,000 կենդանածնի հաշվով",տղա,10.6
2018,"1,000 կենդանածնի հաշվով",տղա,9.1
2019,"1,000 կենդանածնի հաշվով",տղա,8.1
2020,"1,000 կենդանածնի հաշվով",տղա,9.2
2021,"1,000 կենդանածնի հաշվով",տղա,9.0
2015,"1,000 կենդանածնի հաշվով",աղջիկ,9.5
2016,"1,000 կենդանածնի հաշվով",աղջիկ,8.5
2017,"1,000 կենդանածնի հաշվով",աղջիկ,8.5
2018,"1,000 կենդանածնի հաշվով",աղջիկ,8.1
2019,"1,000 կենդանածնի հաշվով",աղջիկ,6.9
2020,"1,000 կենդանածնի հաշվով",աղջիկ,7.1
2021,"1,000 կենդանածնի հաշվով",աղջիկ,7.1
