Year,Units,Կատեգորիա,Value
2015,"100,000 բնակչի հաշվով",սրտանոթային հիվանդություն,221.9
2016,"100,000 բնակչի հաշվով",սրտանոթային հիվանդություն,239.3
2017,"100,000 բնակչի հաշվով",սրտանոթային հիվանդություն,254.4
2015,"100,000 բնակչի հաշվով",քաղցկեղ,206.3
2016,"100,000 բնակչի հաշվով",քաղցկեղ,189.2
2017,"100,000 բնակչի հաշվով",քաղցկեղ,188.9
2015,"100,000 բնակչի հաշվով",շաքարախտ,34.5
2016,"100,000 բնակչի հաշվով",շաքարախտ,32.6
2017,"100,000 բնակչի հաշվով",շաքարախտ,24.1
2018,"100,000 բնակչի հաշվով",սրտանոթային հիվանդություն,254.0
2018,"100,000 բնակչի հաշվով",քաղցկեղ,176.2
2018,"100,000 բնակչի հաշվով",շաքարախտ,15.9
2018,"100,000 բնակչի հաշվով",քրոնիկ շնչառական հիվանդություն,8.7
2015,"100,000 բնակչի հաշվով",քրոնիկ շնչառական հիվանդություն,17.1
2016,"100,000 բնակչի հաշվով",քրոնիկ շնչառական հիվանդություն,16.2
2017,"100,000 բնակչի հաշվով",քրոնիկ շնչառական հիվանդություն,10.3
2019,"100,000 բնակչի հաշվով",սրտանոթային հիվանդություն,245.6
2019,"100,000 բնակչի հաշվով",քաղցկեղ,187.1
2019,"100,000 բնակչի հաշվով",շաքարախտ,13.3
2019,"100,000 բնակչի հաշվով",քրոնիկ շնչառական հիվանդություն,12.5
2020,"100,000 բնակչի հաշվով",սրտանոթային հիվանդություն,289.0
2020,"100,000 բնակչի հաշվով",քաղցկեղ,178.5
2020,"100,000 բնակչի հաշվով",շաքարախտ,11.9
2020,"100,000 բնակչի հաշվով",քրոնիկ շնչառական հիվանդություն,10.0
2021,"100,000 բնակչի հաշվով",սրտանոթային հիվանդություն,278.7
2021,"100,000 բնակչի հաշվով",քաղցկեղ,173.8
2021,"100,000 բնակչի հաշվով",շաքարախտ,9.3
2021,"100,000 բնակչի հաշվով",քրոնիկ շնչառական հիվանդություն,10.8
2022,"100,000 բնակչի հաշվով",սրտանոթային հիվանդություն,242.8
2022,"100,000 բնակչի հաշվով",քաղցկեղ,169.2
2022,"100,000 բնակչի հաշվով",շաքարախտ,10.1
2022,"100,000 բնակչի հաշվով",քրոնիկ շնչառական հիվանդություն,7.3
2023,"100,000 բնակչի հաշվով",սրտանոթային հիվանդություն,234.5
2023,"100,000 բնակչի հաշվով",քաղցկեղ,158.6
2023,"100,000 բնակչի հաշվով",շաքարախտ,9.9
2023,"100,000 բնակչի հաշվով",քրոնիկ շնչառական հիվանդություն,8.3
2024,"100,000 բնակչի հաշվով",սրտանոթային հիվանդություն,236.7
2024,"100,000 բնակչի հաշվով",քաղցկեղ,155.6
2024,"100,000 բնակչի հաշվով",շաքարախտ,8.1
2024,"100,000 բնակչի հաշվով",քրոնիկ շնչառական հիվանդություն,10.0
