Year,Units,Տեսակ,Value
2015,"1,000 բնակչի հաշվով",բժիշկներ,4.4
2016,"1,000 բնակչի հաշվով",բժիշկներ,4.4
2017,"1,000 բնակչի հաշվով",բժիշկներ,4.4
2018,"1,000 բնակչի հաշվով",բժիշկներ,4.5
2019,"1,000 բնակչի հաշվով",բժիշկներ,4.7
2020,"1,000 բնակչի հաշվով",բժիշկներ,4.9
2015,"1,000 բնակչի հաշվով",միջին բժշկական անձնակազմ,5.9
2016,"1,000 բնակչի հաշվով",միջին բժշկական անձնակազմ,5.8
2017,"1,000 բնակչի հաշվով",միջին բժշկական անձնակազմ,5.6
2018,"1,000 բնակչի հաշվով",միջին բժշկական անձնակազմ,5.6
2019,"1,000 բնակչի հաշվով",միջին բժշկական անձնակազմ,5.7
2020,"1,000 բնակչի հաշվով",միջին բժշկական անձնակազմ,5.7
2015,"1,000 բնակչի հաշվով",կրտսեր բժշկական անձնակազմ,1.8
2016,"1,000 բնակչի հաշվով",կրտսեր բժշկական անձնակազմ,1.8
2017,"1,000 բնակչի հաշվով",կրտսեր բժշկական անձնակազմ,1.7
2018,"1,000 բնակչի հաշվով",կրտսեր բժշկական անձնակազմ,1.6
2019,"1,000 բնակչի հաշվով",կրտսեր բժշկական անձնակազմ,1.7
2020,"1,000 բնակչի հաշվով",կրտսեր բժշկական անձնակազմ,1.7
