Year,Units,Օրեր,Տարիք,Սեռ,Գտնվելու վայրը,Կատեգորիա,Value
2023-2024,hours,all days,,ընդամենը,,,3.07
2023-2024,hours,weekdays,,ընդամենը,,,2.9
2023-2024,hours,weekends,,ընդամենը,,,3.6
2023-2024,hours,all days,,women,,,4.68
2023-2024,hours,weekdays,,women,,,4.55
2023-2024,hours,weekends,,women,,,5.05
2023-2024,hours,all days,,men,,,1.05
2023-2024,hours,weekdays,,men,,,0.92
2023-2024,hours,weekends,,men,,,1.52
2023-2024,hours,all days,15-24,ընդամենը,,,1.13
2023-2024,hours,all days,25-34,ընդամենը,,,4.25
2023-2024,hours,all days,35-49,ընդամենը,,,3.68
2023-2024,hours,all days,50-64,ընդամենը,,,2.83
2023-2024,hours,all days,65-80,ընդամենը,,,3.07
2023-2024,hours,all days,15-24,women,,,1.77
2023-2024,hours,all days,25-34,women,,,7.0
2023-2024,hours,all days,35-49,women,,,5.33
2023-2024,hours,all days,50-64,women,,,4.27
2023-2024,hours,all days,65-80,women,,,4.3
2023-2024,hours,all days,15-24,men,,,0.62
2023-2024,hours,all days,25-34,men,,,1.22
2023-2024,hours,all days,35-49,men,,,1.02
2023-2024,hours,all days,50-64,men,,,1.12
2023-2024,hours,all days,65-80,men,,,1.3
2023-2024,hours,weekdays,15-24,ընդամենը,,,0.87
2023-2024,hours,weekdays,25-34,ընդամենը,,,4.22
2023-2024,hours,weekdays,35-49,ընդամենը,,,3.48
2023-2024,hours,weekdays,50-64,ընդամենը,,,2.57
2023-2024,hours,weekdays,65-80,ընդամենը,,,3.07
2023-2024,hours,weekdays,15-24,women,,,1.35
2023-2024,hours,weekdays,25-34,women,,,7.32
2023-2024,hours,weekdays,35-49,women,,,5.2
2023-2024,hours,weekdays,50-64,women,,,4.03
2023-2024,hours,weekdays,65-80,women,,,4.32
2023-2024,hours,weekdays,15-24,men,,,0.5
2023-2024,hours,weekdays,25-34,men,,,1.1
2023-2024,hours,weekdays,35-49,men,,,0.98
2023-2024,hours,weekdays,50-64,men,,,0.8
2023-2024,hours,weekdays,65-80,men,,,1.25
2023-2024,hours,weekends,15-24,ընդամենը,,,1.98
2023-2024,hours,weekends,25-34,ընդամենը,,,4.37
2023-2024,hours,weekends,35-49,ընդամենը,,,4.33
2023-2024,hours,weekends,50-64,ընդամենը,,,3.65
2023-2024,hours,weekends,65-80,ընդամենը,,,3.05
2023-2024,hours,weekends,15-24,women,,,3.07
2023-2024,hours,weekends,25-34,women,,,6.25
2023-2024,hours,weekends,35-49,women,,,5.72
2023-2024,hours,weekends,50-64,women,,,4.97
2023-2024,hours,weekends,65-80,women,,,4.23
2023-2024,hours,weekends,15-24,men,,,1.03
2023-2024,hours,weekends,25-34,men,,,1.65
2023-2024,hours,weekends,35-49,men,,,1.22
2023-2024,hours,weekends,50-64,men,,,2.08
2023-2024,hours,weekends,65-80,men,,,1.42
2023-2024,hours,all days,,ընդամենը,Հայաստան,,3.07
2023-2024,hours,all days,,ընդամենը,Երևան,,3.03
2023-2024,hours,all days,,ընդամենը,Other Urban,,3.43
2023-2024,hours,all days,,ընդամենը,Rural,,2.97
2023-2024,hours,all days,,women,Հայաստան,,4.68
2023-2024,hours,all days,,women,Երևան,,4.42
2023-2024,hours,all days,,women,Other Urban,,4.93
2023-2024,hours,all days,,women,Rural,,4.75
2023-2024,hours,all days,,men,Հայաստան,,1.05
2023-2024,hours,all days,,men,Երևան,,1.18
2023-2024,hours,all days,,men,Other Urban,,1.22
2023-2024,hours,all days,,men,Rural,,0.92
2023-2024,hours,weekdays,,ընդամենը,Հայաստան,,2.9
2023-2024,hours,weekdays,,ընդամենը,Երևան,,3.02
2023-2024,hours,weekdays,,ընդամենը,Other Urban,,3.33
2023-2024,hours,weekdays,,ընդամենը,Rural,,2.68
2023-2024,hours,weekdays,,women,Հայաստան,,4.55
2023-2024,hours,weekdays,,women,Երևան,,4.42
2023-2024,hours,weekdays,,women,Other Urban,,4.88
2023-2024,hours,weekdays,,women,Rural,,4.5
2023-2024,hours,weekdays,,men,Հայաստան,,0.92
2023-2024,hours,weekdays,,men,Երևան,,1.17
2023-2024,hours,weekdays,,men,Other Urban,,1.02
2023-2024,hours,weekdays,,men,Rural,,0.75
2023-2024,hours,weekends,,ընդամենը,Հայաստան,,3.6
2023-2024,hours,weekends,,ընդամենը,Երևան,,3.05
2023-2024,hours,weekends,,ընդամենը,Other Urban,,3.72
2023-2024,hours,weekends,,ընդամենը,Rural,,4.03
2023-2024,hours,weekends,,women,Հայաստան,,5.05
2023-2024,hours,weekends,,women,Երևան,,4.43
2023-2024,hours,weekends,,women,Other Urban,,5.07
2023-2024,hours,weekends,,women,Rural,,5.55
2023-2024,hours,weekends,,men,Հայաստան,,1.52
2023-2024,hours,weekends,,men,Երևան,,1.23
2023-2024,hours,weekends,,men,Other Urban,,1.72
2023-2024,hours,weekends,,men,Rural,,1.68
2023-2024,hours,all days,,ընդամենը,,Զբաղվածներ,1.68
2023-2024,hours,all days,,ընդամենը,,Unemployed,4.32
2023-2024,hours,all days,,ընդամենը,,Population outside the labour force,4.25
2023-2024,hours,all days,,women,,Զբաղվածներ,3.07
2023-2024,hours,all days,,women,,Population outside the labour force,6.28
2023-2024,hours,all days,,women,,Unemployed,5.32
2023-2024,hours,all days,,men,,Զբաղվածներ,0.75
2023-2024,hours,all days,,men,,Unemployed,2.1
2023-2024,hours,all days,,men,,Population outside the labour force,1.28
2023-2024,hours,weekdays,,ընդամենը,,Զբաղվածներ,1.35
2023-2024,hours,weekdays,,ընդամենը,,Unemployed,4.23
2023-2024,hours,weekdays,,ընդամենը,,Population outside the labour force,4.3
2023-2024,hours,weekdays,,women,,Զբաղվածներ,2.58
2023-2024,hours,weekdays,,women,,Unemployed,6.23
2023-2024,hours,weekdays,,women,,Population outside the labour force,5.37
