Year,Units,Մասնաճյուղեր/Բանկոմատներ,Value
2015,"100,000 մեծահասակի համար",Բանկոմատներ,59.0
2016,"100,000 մեծահասակի համար",Բանկոմատներ,60.1
2017,"100,000 մեծահասակի համար",Բանկոմատներ,63.0
2018,"100,000 մեծահասակի համար",Բանկոմատներ,65.0
2019,"100,000 մեծահասակի համար",Բանկոմատներ,67.9
2020,"100,000 մեծահասակի համար",Բանկոմատներ,67.9
2021,"100,000 մեծահասակի համար",Բանկոմատներ,70.3
2022,"100,000 մեծահասակի համար",Բանկոմատներ,69.6
2015,"100,000 մեծահասակի համար",Մասնաճյուղեր,22.8
2016,"100,000 մեծահասակի համար",Մասնաճյուղեր,22.7
2017,"100,000 մեծահասակի համար",Մասնաճյուղեր,22.9
2018,"100,000 մեծահասակի համար",Մասնաճյուղեր,23.4
2019,"100,000 մեծահասակի համար",Մասնաճյուղեր,24.1
2020,"100,000 մեծահասակի համար",Մասնաճյուղեր,24.4
2021,"100,000 մեծահասակի համար",Մասնաճյուղեր,24.1
2022,"100,000 մեծահասակի համար",Մասնաճյուղեր,24.2
2023,"100,000 մեծահասակի համար",Բանկոմատներ,69.2
2024,"100,000 մեծահասակի համար",Բանկոմատներ,71.5
2025,"100,000 մեծահասակի համար",Բանկոմատներ,71.6
2023,"100,000 մեծահասակի համար",Մասնաճյուղեր,22.9
2024,"100,000 մեծահասակի համար",Մասնաճյուղեր,22.7
2025,"100,000 մեծահասակի համար",Մասնաճյուղեր,22.4
