Year,Units,Կատեգորիա,Value
2015,մլն. դրամ,նյութական սպառումը,2773103.4
2016,մլն. դրամ,նյութական սպառումը,2732252.3
2017,մլն. դրամ,նյութական սպառումը,3120625.2
2018,մլն. դրամ,նյութական սպառումը,3378262.0
2019,մլն. դրամ,նյութական սպառումը,3840591.8
2020,մլն. դրամ,նյութական սպառումը,3277167.4
2015,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,922952.6
2016,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,913094.4
2017,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1047400.6
2018,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1137845.1
2019,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1296402.3
2020,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1106590.4
2015,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,55.0
2016,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,53.9
2017,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,56.1
2018,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,56.1
2019,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,58.7
2020,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,53.0
2021,մլն. դրամ,նյութական սպառումը,3513718.1
2021,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1186145.3
2021,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,50.3
2022,մլն. դրամ,նյութական սպառումը,3999106.0
2022,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1365068.9
2022,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,47.0
2023,մլն. դրամ,նյութական սպառումը,4428850.6
2023,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1494062.9
2023,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,46.7
2024,մլն. դրամ,նյութական սպառումը,4899844.8
2024,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1615138.2
2024,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,48.1
2025,մլն. դրամ,նյութական սպառումը,5662020.4
2025,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1834328.0
2025,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,50.0
