Year,Units,Սեռ,Value
2015,դրամ,,171615
2016,դրամ,,174445
2017,դրամ,,177817
2018,դրամ,,172727
2019,դրամ,,182673
2020,դրամ,,189716
2015,դրամ,տղամարդ,203657
2016,դրամ,տղամարդ,209271
2017,դրամ,տղամարդ,211720
2018,դրամ,տղամարդ,210783
2019,դրամ,տղամարդ,222510
2020,դրամ,տղամարդ,231520
2015,դրամ,կին,135492
2016,դրամ,կին,138901
2017,դրամ,կին,143016
2018,դրամ,կին,136363
2019,դրամ,կին,145198
2020,դրամ,կին,150306
2021,դրամ,,204048
2021,դրամ,կին,161421
2021,դրամ,տղամարդ,250186
2022,դրամ,,235576
2022,դրամ,կին,179882
2022,դրամ,տղամարդ,295778
2023,դրամ,,269994
2023,դրամ,կին,202524
2023,դրամ,տղամարդ,341388
2024,դրամ,,287172
2024,դրամ,կին,218325
2024,դրամ,տղամարդ,360025
