Year,Units,Սեռ,Տեսակ,Տարիք,Value
2015,%,,,,15.53
2016,%,,,,15.69
2017,%,,,,15.41
2018,%,,,,15.62
2019,%,,,,15.76
2020,%,,,,15.76
2015,%,արական,,,12.73
2016,%,արական,,,12.93
2017,%,արական,,,12.74
2018,%,արական,,,12.97
2019,%,արական,,,13.14
2020,%,արական,,,13.15
2015,%,իգական,,,18.09
2016,%,իգական,,,18.19
2017,%,իգական,,,17.82
2018,%,իգական,,,17.99
2019,%,իգական,,,18.11
2020,%,իգական,,,18.09
2015,%,,տարիքային,,10.19
2016,%,,տարիքային,,10.33
2017,%,,տարիքային,,10.52
2018,%,,տարիքային,,10.88
2019,%,,տարիքային,,11.15
2020,%,,տարիքային,,11.29
2015,%,արական,տարիքային,,7.93
2016,%,արական,տարիքային,,8.09
2017,%,արական,տարիքային,,8.3
2018,%,արական,տարիքային,,8.65
2019,%,արական,տարիքային,,8.93
2020,%,արական,տարիքային,,9.08
2015,%,իգական,տարիքային,,12.25
2016,%,իգական,տարիքային,,12.36
2017,%,իգական,տարիքային,,12.53
2018,%,իգական,տարիքային,,12.88
2019,%,իգական,տարիքային,,13.14
2020,%,իգական,տարիքային,,13.27
2015,%,,արտոնյալ պայմաններով,,0.09
2016,%,,արտոնյալ պայմաններով,,0.08
2017,%,,արտոնյալ պայմաններով,,0.08
2018,%,,արտոնյալ պայմաններով,,0.07
2019,%,,արտոնյալ պայմաններով,,0.06
2020,%,,արտոնյալ պայմաններով,,0.05
2015,%,արական,արտոնյալ պայմաններով,,0.14
2016,%,արական,արտոնյալ պայմաններով,,0.13
2017,%,արական,արտոնյալ պայմաններով,,0.12
2018,%,արական,արտոնյալ պայմաններով,,0.11
2019,%,արական,արտոնյալ պայմաններով,,0.09
2020,%,արական,արտոնյալ պայմաններով,,0.08
2015,%,իգական,արտոնյալ պայմաններով,,0.05
2016,%,իգական,արտոնյալ պայմաններով,,0.05
2017,%,իգական,արտոնյալ պայմաններով,,0.04
2018,%,իգական,արտոնյալ պայմաններով,,0.03
2019,%,իգական,արտոնյալ պայմաններով,,0.03
2020,%,իգական,արտոնյալ պայմաններով,,0.03
2015,%,,երկարամյա ծառայության,,0.04
2016,%,,երկարամյա ծառայության,,0.02
2017,%,,երկարամյա ծառայության,,0.02
2018,%,,երկարամյա ծառայության,,0.02
2019,%,,երկարամյա ծառայության,,0.02
2020,%,,երկարամյա ծառայության,,0.01
2015,%,արական,երկարամյա ծառայության,,0.04
2016,%,արական,երկարամյա ծառայության,,0.03
2017,%,արական,երկարամյա ծառայության,,0.03
2018,%,արական,երկարամյա ծառայության,,0.02
2019,%,արական,երկարամյա ծառայության,,0.02
2020,%,արական,երկարամյա ծառայության,,0.02
2015,%,իգական,երկարամյա ծառայության,,0.04
2016,%,իգական,երկարամյա ծառայության,,0.02
2017,%,իգական,երկարամյա ծառայության,,0.01
2018,%,իգական,երկարամյա ծառայության,,0.01
2019,%,իգական,երկարամյա ծառայության,,0.01
2020,%,իգական,երկարամյա ծառայության,,0.01
2015,%,,մասնակի,,0.5
2016,%,,մասնակի,,0.49
2017,%,,մասնակի,,0.47
2018,%,,մասնակի,,0.44
2019,%,,մասնակի,,0.41
2020,%,,մասնակի,,0.37
2015,%,արական,մասնակի,,0.11
2016,%,արական,մասնակի,,0.11
2017,%,արական,մասնակի,,0.1
2018,%,արական,մասնակի,,0.09
2019,%,արական,մասնակի,,0.09
2020,%,արական,մասնակի,,0.07
2015,%,իգական,մասնակի,,0.85
2016,%,իգական,մասնակի,,0.83
2017,%,իգական,մասնակի,,0.8
2018,%,իգական,մասնակի,,0.76
2019,%,իգական,մասնակի,,0.7
2020,%,իգական,մասնակի,,0.64
2015,%,,հաշմանդամության,,4.28
2016,%,,հաշմանդամության,,4.35
2017,%,,հաշմանդամության,,3.93
2018,%,,հաշմանդամության,,3.84
2019,%,,հաշմանդամության,,3.78
2020,%,,հաշմանդամության,,3.7
