Year,Access to servises,Units,Գտնվելու վայրը,Սեռ,Value
2015,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,,,97.3
2016,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,,,97.9
2017,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,,,97.3
2018,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,,,97.9
2019,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,,,96.1
2020,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,,,95.5
2021,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,,,96.3
2015,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,քաղաք,,99.9
2016,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,քաղաք,,100.0
2017,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,քաղաք,,99.9
2018,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,քաղաք,,99.7
2019,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,քաղաք,,99.5
2020,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,քաղաք,,99.7
2021,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,քաղաք,,99.9
2015,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,գյուղ,,92.5
2016,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,գյուղ,,94.0
2017,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,գյուղ,,93.3
2018,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,գյուղ,,94.4
2019,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,գյուղ,,90.6
2020,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,գյուղ,,89.6
2021,տնային տնտեսությունների հասանելիությունը կենտրոնացված ջրամատակարարմանը,%,գյուղ,,89.6
2015,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,,,69.9
2016,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,,,69.7
2017,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,,,69.8
2018,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,,,71.9
2019,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,,,74.7
2020,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,,,77.9
2021,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,,,81.2
2015,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,քաղաք,,96.4
2016,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,քաղաք,,96.1
2017,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,քաղաք,,97.8
2018,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,քաղաք,,98.1
2019,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,քաղաք,,97.3
2020,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,քաղաք,,98.7
2021,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,քաղաք,,99.3
2015,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,գյուղ,,20.3
2016,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,գյուղ,,20.3
2017,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,գյուղ,,25.3
2018,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,գյուղ,,28.6
2019,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,գյուղ,,38.1
2020,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,գյուղ,,48.6
2021,տնային տնտեսությունների հասանելիությունը կենտրոնացված կոյուղու համակարգ,%,գյուղ,,47.5
2015,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,,,87.6
2016,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,,,86.6
2017,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,,,91.7
2018,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,,,93.6
2019,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,,,95.7
2020,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,,,97.0
2021,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,,,96.3
2015,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,քաղաք,,98.7
2016,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,քաղաք,,98.7
2017,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,քաղաք,,99.8
2018,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,քաղաք,,99.4
2019,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,քաղաք,,99.9
2020,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,քաղաք,,99.4
2021,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,քաղաք,,99.8
2015,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,գյուղ,,66.7
2016,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,գյուղ,,63.6
2017,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,գյուղ,,78.7
2018,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,գյուղ,,84.2
2019,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,գյուղ,,89.0
2020,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,գյուղ,,92.6
2021,տնային տնտեսությունների հասանելիությունը կենտրոնացված աղբահանությանը (աղբամուղ և/կամ հավաքվում է բեռնատարով. թափվում է աղբակույտի մեջ),%,գյուղ,,89.5
2015,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,,,61.2
2016,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,,,74.7
2017,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,,,64.7
2018,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,,,68.2
2019,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,,,66.5
2020,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,,,61.9
2021,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,,,62.6
2015,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,քաղաք,,64.4
2016,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,քաղաք,,77.9
2017,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,քաղաք,,68.1
2018,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,քաղաք,,73.1
2019,ինտերնետային կապի հասանելիությունը տնային տնտեսությանը,%,քաղաք,,70.8
