Year,Units,Աղետի տեսակ,Value
2015,"100,000 բնակչի հաշվով",,445.4
2016,"100,000 բնակչի հաշվով",,506.6
2017,"100,000 բնակչի հաշվով",,444.1
2018,"100,000 բնակչի հաշվով",,436.4
2019,"100,000 բնակչի հաշվով",,608.9
2020,"100,000 բնակչի հաշվով",,5930.6
2015,"100,000 բնակչի հաշվով",տարերային աղետներ,43.5
2016,"100,000 բնակչի հաշվով",տարերային աղետներ,177.1
2017,"100,000 բնակչի հաշվով",տարերային աղետներ,67.0
2018,"100,000 բնակչի հաշվով",տարերային աղետներ,3.7
2019,"100,000 բնակչի հաշվով",տարերային աղետներ,91.5
2020,"100,000 բնակչի հաշվով",տարերային աղետներ,65.4
2015,"100,000 բնակչի հաշվով",տեխնածին աղետներ,172.9
2016,"100,000 բնակչի հաշվով",տեխնածին աղետներ,168.6
2017,"100,000 բնակչի հաշվով",տեխնածին աղետներ,190.8
2018,"100,000 բնակչի հաշվով",տեխնածին աղետներ,239.5
2019,"100,000 բնակչի հաշվով",տեխնածին աղետներ,272.1
2020,"100,000 բնակչի հաշվով",տեխնածին աղետներ,227.8
2015,"100,000 բնակչի հաշվով",սոցիալ-կենսաբանական աղետներ,229.0
2016,"100,000 բնակչի հաշվով",սոցիալ-կենսաբանական աղետներ,160.9
2017,"100,000 բնակչի հաշվով",սոցիալ-կենսաբանական աղետներ,186.3
2018,"100,000 բնակչի հաշվով",սոցիալ-կենսաբանական աղետներ,193.3
2019,"100,000 բնակչի հաշվով",սոցիալ-կենսաբանական աղետներ,245.3
2020,"100,000 բնակչի հաշվով",սոցիալ-կենսաբանական աղետներ,5643.4
2021,"100,000 բնակչի հաշվով",,6678.2
2021,"100,000 բնակչի հաշվով",տարերային աղետներ,35.2
2021,"100,000 բնակչի հաշվով",տեխնածին աղետներ,260.3
2021,"100,000 բնակչի հաշվով",սոցիալ-կենսաբանական աղետներ,6382.7
2022,"100,000 բնակչի հաշվով",,4135.3
2022,"100,000 բնակչի հաշվով",տարերային աղետներ,114.4
2022,"100,000 բնակչի հաշվով",տեխնածին աղետներ,249.5
2022,"100,000 բնակչի հաշվով",սոցիալ-կենսաբանական աղետներ,3771.4
2023,"100,000 բնակչի հաշվով",,740.4
2023,"100,000 բնակչի հաշվով",տարերային աղետներ,173.9
2023,"100,000 բնակչի հաշվով",տեխնածին աղետներ,256.3
2023,"100,000 բնակչի հաշվով",սոցիալ-կենսաբանական աղետներ,310.3
