Year,Series,Units,Value
2010,ALL AREA,mgr/m^3,52.917
2011,ALL AREA,mgr/m^3,56.662
2012,ALL AREA,mgr/m^3,52.872
2013,ALL AREA,mgr/m^3,47.439
2014,ALL AREA,mgr/m^3,42.963
2015,ALL AREA,mgr/m^3,47.511
2016,ALL AREA,mgr/m^3,41.97
2017,ALL AREA,mgr/m^3,39.128
2018,ALL AREA,mgr/m^3,38.466
2019,ALL AREA,mgr/m^3,40.66
2020,ALL AREA,mgr/m^3,35.253
2021,ALL AREA,mgr/m^3,37.388
2022,ALL AREA,mgr/m^3,34.045
2023,ALL AREA,mgr/m^3,30.108
2010,CITY,mgr/m^3,60.099
2011,CITY,mgr/m^3,64.869
2012,CITY,mgr/m^3,60.722
2013,CITY,mgr/m^3,54.279
2014,CITY,mgr/m^3,49.207
2015,CITY,mgr/m^3,54.62
2016,CITY,mgr/m^3,47.845
2017,CITY,mgr/m^3,45.017
2018,CITY,mgr/m^3,44.307
2019,CITY,mgr/m^3,46.7
2020,CITY,mgr/m^3,40.957
2021,CITY,mgr/m^3,42.816
2022,CITY,mgr/m^3,39.399
2023,CITY,mgr/m^3,34.882
2010,RURAL,mgr/m^3,35.842
2011,RURAL,mgr/m^3,38.565
2012,RURAL,mgr/m^3,35.92
2013,RURAL,mgr/m^3,32.191
2014,RURAL,mgr/m^3,29.167
2015,RURAL,mgr/m^3,32.324
2016,RURAL,mgr/m^3,28.575
2017,RURAL,mgr/m^3,26.728
2018,RURAL,mgr/m^3,26.206
2019,RURAL,mgr/m^3,27.925
2020,RURAL,mgr/m^3,24.179
2021,RURAL,mgr/m^3,25.602
2022,RURAL,mgr/m^3,23.45
2023,RURAL,mgr/m^3,20.842
2010,Town and semi-dense area,mgr/m^3,48.344
2011,Town and semi-dense area,mgr/m^3,51.621
2012,Town and semi-dense area,mgr/m^3,48.41
2013,Town and semi-dense area,mgr/m^3,43.399
2014,Town and semi-dense area,mgr/m^3,39.414
2015,Town and semi-dense area,mgr/m^3,43.547
2016,Town and semi-dense area,mgr/m^3,38.626
2017,Town and semi-dense area,mgr/m^3,36.234
2018,Town and semi-dense area,mgr/m^3,35.421
2019,Town and semi-dense area,mgr/m^3,37.785
2020,Town and semi-dense area,mgr/m^3,32.739
2021,Town and semi-dense area,mgr/m^3,34.722
2022,Town and semi-dense area,mgr/m^3,31.62
2023,Town and semi-dense area,mgr/m^3,28.117
2010,URBAN,mgr/m^3,55.163
2011,URBAN,mgr/m^3,59.205
2012,URBAN,mgr/m^3,55.482
2013,URBAN,mgr/m^3,49.482
2014,URBAN,mgr/m^3,44.765
2015,URBAN,mgr/m^3,49.419
2016,URBAN,mgr/m^3,43.599
2017,URBAN,mgr/m^3,41.063
2018,URBAN,mgr/m^3,40.152
2019,URBAN,mgr/m^3,42.462
2020,URBAN,mgr/m^3,36.771
2021,URBAN,mgr/m^3,39.064
2022,URBAN,mgr/m^3,35.483
2023,URBAN,mgr/m^3,31.531
