Year,Units,Կատեգորիա,Value
2015,մլն. դրամ,նյութական սպառումը,2773103.4
2016,մլն. դրամ,նյութական սպառումը,2732252.3
2017,մլն. դրամ,նյութական սպառումը,3120625.2
2018,մլն. դրամ,նյութական սպառումը,3378262.0
2019,մլն. դրամ,նյութական սպառումը,3844807.1
2020,մլն. դրամ,նյութական սպառումը,3276763.0
2015,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,922952.6
2016,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,913094.4
2017,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1047400.6
2018,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1137845.1
2019,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1297825.2
2020,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1106453.8
2015,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,55.0
2016,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,53.9
2017,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,56.1
2018,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,56.1
2019,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,58.8
2020,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,53.0
2021,մլն. դրամ,նյութական սպառումը,3511031.9
2021,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1185238.5
2021,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,50.2
2022,մլն. դրամ,նյութական սպառումը,4005168.9
2022,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1367138.5
2022,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,47.1
2023,մլն. դրամ,նյութական սպառումը,4394331.1
2023,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1482417.8
2023,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,46.3
2024,մլն. դրամ,նյութական սպառումը,4799964.6
2024,դրամ,մեկ շնչի հաշվով ներքին նյութական սպառումը,1582214.7
2024,%,ՀՆԱ-ի հաշվով ներքին նյութական սպառումը,47.1
