Year,Series,Units,Value
2015,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն) որպես ընդհանուր ՀՆԱ-ի համամասնություն,%,0.283
2016,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն) որպես ընդհանուր ՀՆԱ-ի համամասնություն,%,0.196
2017,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն) որպես ընդհանուր ՀՆԱ-ի համամասնություն,%,0.184
2018,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն) որպես ընդհանուր ՀՆԱ-ի համամասնություն,%,0.035
2019,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն) որպես ընդհանուր ՀՆԱ-ի համամասնություն,%,0.032
2020,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն) որպես ընդհանուր ՀՆԱ-ի համամասնություն,%,0.092
2015,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),billions of nominal USD,0.032
2016,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),billions of nominal USD,0.022
2017,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),billions of nominal USD,0.022
2018,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),billions of nominal USD,0.004
2019,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),billions of nominal USD,0.004
2020,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),billions of nominal USD,0.012
2015,Մեկ շնչի հաշվով հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),անվանական ԱՄՆ դոլար,10.8
2016,Մեկ շնչի հաշվով հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),անվանական ԱՄՆ դոլար,7.5
2017,Մեկ շնչի հաշվով հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),անվանական ԱՄՆ դոլար,7.6
2018,Մեկ շնչի հաշվով հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),անվանական ԱՄՆ դոլար,1.5
2019,Մեկ շնչի հաշվով հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),անվանական ԱՄՆ դոլար,1.5
2020,Մեկ շնչի հաշվով հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),անվանական ԱՄՆ դոլար,4.0
