Year,Units,Տեսակ,Value
2015,%,հավասար է կամ գերազանցում է 256 Կբիթ/վրկ արագությունը և պակաս է 2 Մբիթ/վրկ-ից,0.1
2016,%,հավասար է կամ գերազանցում է 256 Կբիթ/վրկ արագությունը և պակաս է 2 Մբիթ/վրկ-ից,0.2
2017,%,հավասար է կամ գերազանցում է 256 Կբիթ/վրկ արագությունը և պակաս է 2 Մբիթ/վրկ-ից,0.2
2018,%,հավասար է կամ գերազանցում է 256 Կբիթ/վրկ արագությունը և պակաս է 2 Մբիթ/վրկ-ից,0.2
2019,%,հավասար է կամ գերազանցում է 256 Կբիթ/վրկ արագությունը և պակաս է 2 Մբիթ/վրկ-ից,0.1
2020,%,հավասար է կամ գերազանցում է 256 Կբիթ/վրկ արագությունը և պակաս է 2 Մբիթ/վրկ-ից,0.1
2015,%,հավասար է կամ գերազանցում է 2 Մբիթ/վրկ արագությունը և պակաս է 10 Մբիթ/վրկ-ից,6.2
2016,%,հավասար է կամ գերազանցում է 2 Մբիթ/վրկ արագությունը և պակաս է 10 Մբիթ/վրկ-ից,5.9
2017,%,հավասար է կամ գերազանցում է 2 Մբիթ/վրկ արագությունը և պակաս է 10 Մբիթ/վրկ-ից,5.8
2018,%,հավասար է կամ գերազանցում է 2 Մբիթ/վրկ արագությունը և պակաս է 10 Մբիթ/վրկ-ից,5.9
2019,%,հավասար է կամ գերազանցում է 2 Մբիթ/վրկ արագությունը և պակաս է 10 Մբիթ/վրկ-ից,5.8
2020,%,հավասար է կամ գերազանցում է 2 Մբիթ/վրկ արագությունը և պակաս է 10 Մբիթ/վրկ-ից,5.7
2015,%,հավասար է կամ գերազանցում է  10 Մբիթ/վրկ արագությունը,3.2
2016,%,հավասար է կամ գերազանցում է  10 Մբիթ/վրկ արագությունը,3.9
2017,%,հավասար է կամ գերազանցում է  10 Մբիթ/վրկ արագությունը,4.6
2018,%,հավասար է կամ գերազանցում է  10 Մբիթ/վրկ արագությունը,5.6
2019,%,հավասար է կամ գերազանցում է  10 Մբիթ/վրկ արագությունը,7.1
2020,%,հավասար է կամ գերազանցում է  10 Մբիթ/վրկ արագությունը,8.8
