Year,Units,Կատեգորիա,Value
2015,"1,000 հա",վարելահողեր,446.7
2015,"1,000 հա",բազմամյա տնկարկներ,57.6
2015,"1,000 հա",ցանքատարածություններ,337.5
2016,"1,000 հա",վարելահողեր,446.4
2016,"1,000 հա",բազմամյա տնկարկներ,57.6
2016,"1,000 հա",ցանքատարածություններ,353.4
2017,"1,000 հա",վարելահողեր,446.0
2017,"1,000 հա",բազմամյա տնկարկներ,58.1
2017,"1,000 հա",ցանքատարածություններ,294.5
2018,"1,000 հա",վարելահողեր,445.6
2018,"1,000 հա",բազմամյա տնկարկներ,59.1
2018,"1,000 հա",ցանքատարածություններ,242.3
2019,"1,000 հա",վարելահողեր,444.8
2019,"1,000 հա",բազմամյա տնկարկներ,59.9
2019,"1,000 հա",ցանքատարածություններ,227.9
2020,"1,000 հա",վարելահողեր,444.0
2020,"1,000 հա",բազմամյա տնկարկներ,60.4
2020,"1,000 հա",ցանքատարածություններ,222.7
2021,"1,000 հա",վարելահողեր,443.4
2021,"1,000 հա",բազմամյա տնկարկներ,61.2
2021,"1,000 հա",ցանքատարածություններ,227.2
2022,"1,000 հա",վարելահողեր,442.7
2022,"1,000 հա",բազմամյա տնկարկներ,61.2
2022,"1,000 հա",ցանքատարածություններ,212.2
