Year,Units,Ցուցանիշ,Value
2016,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",-3.26
2017,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",0.66
2018,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",3.01
2019,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",4.94
2020,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",5.23
2021,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",17.03
2022,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",32.19
2023,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",31.54
2024,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",28.93
2015,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",-0.75
2016,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",-0.59
2017,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",1.06
2018,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",-0.11
2019,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",-0.1
2020,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",-0.27
2021,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",1.68
2022,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",0.91
2023,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",-1.12
2015,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցանիշ (IFPA), ցորեն",-0.52
2016,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցանիշ (IFPA), ցորեն",-0.49
2017,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցանիշ (IFPA), ցորեն",0.02
2018,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցանիշ (IFPA), ցորեն",-0.65
2019,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցանիշ (IFPA), ցորեն",0.49
2020,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցանիշ (IFPA), ցորեն",0.71
2021,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցանիշ (IFPA), ցորեն",0.28
2022,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցանիշ (IFPA), ցորեն",-0.01
2023,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցանիշ (IFPA), ցորեն",-2.23
2024,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցանիշ (IFPA), ցորեն",-0.23
2025,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",35.38
2024,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",-0.64
2025,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցանիշ (IFPA), ցորեն",0.17
