Year,Units,Սեռ,Value
2015,"1,000 կենդանածնի հաշվով",Total,8.8
2016,"1,000 կենդանածնի հաշվով",Total,8.6
2017,"1,000 կենդանածնի հաշվով",Total,8.2
2018,"1,000 կենդանածնի հաշվով",Total,7.1
2019,"1,000 կենդանածնի հաշվով",Total,6.1
2020,"1,000 կենդանածնի հաշվով",Total,7.4
2021,"1,000 կենդանածնի հաշվով",Total,6.9
2015,"1,000 կենդանածնի հաշվով",boy,9.4
2016,"1,000 կենդանածնի հաշվով",boy,9.9
2017,"1,000 կենդանածնի հաշվով",boy,8.8
2018,"1,000 կենդանածնի հաշվով",boy,7.4
2019,"1,000 կենդանածնի հաշվով",boy,6.8
2020,"1,000 կենդանածնի հաշվով",boy,8.2
2021,"1,000 կենդանածնի հաշվով",boy,7.8
2015,"1,000 կենդանածնի հաշվով",girl,8.2
2016,"1,000 կենդանածնի հաշվով",girl,7.3
2017,"1,000 կենդանածնի հաշվով",girl,7.6
2018,"1,000 կենդանածնի հաշվով",girl,6.8
2019,"1,000 կենդանածնի հաշվով",girl,5.3
2020,"1,000 կենդանածնի հաշվով",girl,6.4
2021,"1,000 կենդանածնի հաշվով",girl,5.9
