Year,Units,Սեռ,Կատեգորիա,Value
2015,"100,000 բնակչի հաշվով",Total,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),19.1
2015,"100,000 բնակչի հաշվով",Female,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),6.8
2015,"100,000 բնակչի հաշվով",Male,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),32.7
2015,"100,000 բնակչի հաշվով",Total,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),86.4
2015,"100,000 բնակչի հաշվով",Female,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),80.1
2015,"100,000 բնակչի հաշվով",Male,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),93.2
2015,"100,000 բնակչի հաշվով",Total,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),10.2
2015,"100,000 բնակչի հաշվով",Female,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),11.3
2015,"100,000 բնակչի հաշվով",Male,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),9.0
2015,"100,000 բնակչի հաշվով",Total,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.0
2015,"100,000 բնակչի հաշվով",Female,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.0
2015,"100,000 բնակչի հաշվով",Male,Սուր շնչառական վարակները մինչև 5 տ. Երեխաների շրջանում (<5),0.0
2015,"100,000 բնակչի հաշվով",Total,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),15.6
2015,"100,000 բնակչի հաշվով",Female,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),14.9
2015,"100,000 բնակչի հաշվով",Male,Թոքերի քրոնիկ  օբստրուկտիվ հիվանդություն մեծահասակների շրջանում (≥25),16.3
2016,"100,000 բնակչի հաշվով",Total,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),18.1
2016,"100,000 բնակչի հաշվով",Female,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),5.9
2016,"100,000 բնակչի հաշվով",Male,Թոքերի  չարորակ նորագոյացություն մեծահասակների մոտ  (≥25),31.5
2016,"100,000 բնակչի հաշվով",Total,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),91.9
2016,"100,000 բնակչի հաշվով",Female,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),89.7
2016,"100,000 բնակչի հաշվով",Male,Սրտի իշեմիկ հիվանդություններ մեծահասակների մոտ (≥25),94.4
2016,"100,000 բնակչի հաշվով",Total,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),10.6
2016,"100,000 բնակչի հաշվով",Female,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),11.4
2016,"100,000 բնակչի հաշվով",Male,Գլխուղեղային հիվանդությունները (կաթված) մեծահասակների մոտ(≥25),9.7
