Year,Units,Կրթական մակարդակ,Value
2013,%,տարրական,99.4
2013,%,հիմնական,97.5
2013,%,ավագ,88.8
2014,%,տարրական,99.4
2014,%,հիմնական,97.6
2014,%,ավագ,88.9
2015,%,տարրական,99.4
2015,%,հիմնական,97.6
2015,%,ավագ,89.0
2016,%,տարրական,99.4
2016,%,հիմնական,97.6
2016,%,ավագ,89.2
2017,%,տարրական,99.4
2017,%,հիմնական,97.7
2017,%,ավագ,89.3
2018,%,տարրական,99.4
2018,%,հիմնական,97.7
2018,%,ավագ,89.3
2019,%,տարրական,99.4
2019,%,հիմնական,97.7
2019,%,ավագ,89.6
2020,%,տարրական,99.4
2020,%,հիմնական,97.8
2020,%,ավագ,89.7
2021,%,տարրական,99.5
2021,%,հիմնական,97.8
2021,%,ավագ,89.9
