Year,Units,Կատեգորիա,Value
2015,%,էլեկտրականություն,100.0
2016,%,էլեկտրականություն,100.0
2017,%,էլեկտրականություն,100.0
2018,%,էլեկտրականություն,100.0
2019,%,էլեկտրականություն,100.0
2020,%,էլեկտրականություն,100.0
2015,%,համացանցին միացված դպրոցների համամասնությունը,99.9
2016,%,համացանցին միացված դպրոցների համամասնությունը,100.0
2017,%,համացանցին միացված դպրոցների համամասնությունը,100.0
2018,%,համացանցին միացված դպրոցների համամասնությունը,100.0
2019,%,համացանցին միացված դպրոցների համամասնությունը,100.0
2020,%,համացանցին միացված դպրոցների համամասնությունը,100.0
2015,%,ուսուցիչների թվաքանակը մեկ համակարգչի հաշվով,1.8
2016,%,ուսուցիչների թվաքանակը մեկ համակարգչի հաշվով,1.7
2017,%,ուսուցիչների թվաքանակը մեկ համակարգչի հաշվով,1.7
2018,%,ուսուցիչների թվաքանակը մեկ համակարգչի հաշվով,1.5
2019,%,ուսուցիչների թվաքանակը մեկ համակարգչի հաշվով,1.3
2020,%,ուսուցիչների թվաքանակը մեկ համակարգչի հաշվով,1.3
2015,%,ջրամատակարարում,93.9
2016,%,ջրամատակարարում,95.0
2017,%,ջրամատակարարում,94.9
2018,%,ջրամատակարարում,94.9
2019,%,ջրամատակարարում,94.9
2020,%,ջրամատակարարում,95.0
2015,%,կոյուղի,89.4
2016,%,կոյուղի,90.1
2017,%,կոյուղի,90.4
2018,%,կոյուղի,90.1
2019,%,կոյուղի,90.1
2020,%,կոյուղի,90.3
2021,%,էլեկտրականություն,100.0
2021,%,համացանցին միացված դպրոցների համամասնությունը,100.0
2021,%,ուսուցիչների թվաքանակը մեկ համակարգչի հաշվով,1.3
2021,%,ջրամատակարարում,95.0
2021,%,կոյուղի,90.4
2022,%,էլեկտրականություն,100.0
2022,%,համացանցին միացված դպրոցների համամասնությունը,100.0
2022,%,ուսուցիչների թվաքանակը մեկ համակարգչի հաշվով,1.3
2022,%,ջրամատակարարում,95.1
2022,%,կոյուղի,90.6
2023,%,էլեկտրականություն,100.0
2023,%,համացանցին միացված դպրոցների համամասնությունը,100.0
2023,%,ուսուցիչների թվաքանակը մեկ համակարգչի հաշվով,1.2
2023,%,ջրամատակարարում,96.7
2023,%,կոյուղի,92.4
2024,%,էլեկտրականություն,100.0
2024,%,համացանցին միացված դպրոցների համամասնությունը,100.0
2024,%,ուսուցիչների թվաքանակը մեկ համակարգչի հաշվով,1.2
2024,%,ջրամատակարարում,97.0
2024,%,կոյուղի,93.1
